sample_type,province,location,season,lon,lat,antibiotic,antibiotic_class,median_concentration,concentration_unit,sample_year,reference_number
sediment,Liaoning,Liaoning Liao river basin,5,123.166667,42.5,Norfloxacin,Fluoroquinolones,11.7,ng/g,2012,217
sediment,Liaoning,Liaoning Liao river basin,5,123.166667,42.5,Ofloxacin,Fluoroquinolones,5.62,ng/g,2012,217
sediment,Liaoning,Liaoning Liao river basin,5,123.166667,42.5,Oxytetracycline,Tetracyclines,29.12,ng/g,2012,217
sediment,Liaoning,Liaoning Liao river basin,5,123.166667,42.5,Roxithromycin,Macrolides,21.31,ng/g,2012,217
sediment,Liaoning,Liaoning Liao river basin,5,123.166667,42.5,Sulfadimethoxine,Sulfonamides,0.06,ng/g,2012,217
sediment,Liaoning,Liaoning Liao river basin,5,123.166667,42.5,Tetracycline,Tetracyclines,0.98,ng/g,2012,217
sediment,Liaoning,Liaoning Liaohe river,10,123,42,Chlortetracycline,Tetracyclines,4.81,ng/g,2015,150
sediment,Liaoning,Liaoning Liaohe river,10,123,42,Oxytetracycline,Tetracyclines,14.36,ng/g,2015,150
sediment,Liaoning,Liaoning Liaohe river,10,123,42,Sulfamethoxazole,Sulfonamides,1.95,ng/g,2015,150
sediment,Liaoning,Liaoning Liaohe river,10,123,42,Tetracycline,Tetracyclines,1.74,ng/g,2015,150
sediment,Liaoning,Liaoning Liaohe river,10,123,42,Trimethoprim,Diaminopyrimidines,47.38,ng/g,2015,150
sediment,Liaoning,Liaoning Liaohe river,5,123,42,Chlortetracycline,Tetracyclines,8.68,ng/g,2015,150
sediment,Liaoning,Liaoning Liaohe river,5,123,42,Oxytetracycline,Tetracyclines,214.47,ng/g,2015,150
sediment,Liaoning,Liaoning Liaohe river,5,123,42,Sulfachinoxaline,Sulfonamides,1.57,ng/g,2015,150
sediment,Liaoning,Liaoning Liaohe river,5,123,42,Sulfamethoxazole,Sulfonamides,2.22,ng/g,2015,150
sediment,Liaoning,Liaoning Liaohe river,5,123,42,Tetracycline,Tetracyclines,9.95,ng/g,2015,150
sediment,Liaoning,Liaoning Liaohe river,5,123,42,Trimethoprim,Diaminopyrimidines,23.93,ng/g,2015,150
sediment,Qinghai,Qinghai Hainan Tibetan Autonomous Prefecture Qinghai Lake,NA,99.591667,36.358333,Anhydrochlortetracycline,Tetracyclines,0.48,ng/g,2018,59
sediment,Qinghai,Qinghai Hainan Tibetan Autonomous Prefecture Qinghai Lake,NA,99.591667,36.358333,Dehydroerythromycin,Macrolides,0.9,ng/g,2018,59
sediment,Qinghai,Qinghai Xining Huangshui river,7,101.778756,36.616288,Azithromycin,Macrolides,0.45,ng/g,2018,54
sediment,Qinghai,Qinghai Xining Huangshui river,7,101.778756,36.616288,Clarithromycin,Macrolides,0.44,ng/g,2018,54
sediment,Qinghai,Qinghai Xining Huangshui river,7,101.778756,36.616288,Clindamycin,Lincosamides,0.625,ng/g,2018,54
sediment,Qinghai,Qinghai Xining Huangshui river,7,101.778756,36.616288,Dehydroerythromycin,Macrolides,0.855,ng/g,2018,54
sediment,Qinghai,Xining urban wetlands,3,NA,NA,Chlortetracycline,Tetracyclines,0.56,ng/g,2022,CAND_QINGHAI_2023
sediment,Qinghai,Xining urban wetlands,3,NA,NA,Erythromycin,Macrolides,2.11,ng/g,2022,CAND_QINGHAI_2023
sediment,Qinghai,Xining urban wetlands,3,NA,NA,Ofloxacin,Fluoroquinolones,0.88,ng/g,2022,CAND_QINGHAI_2023
sediment,Qinghai,Xining urban wetlands,3,NA,NA,Oxytetracycline,Tetracyclines,0.02,ng/g,2022,CAND_QINGHAI_2023
sediment,Qinghai,Xining urban wetlands,3,NA,NA,Roxithromycin,Macrolides,5.46,ng/g,2022,CAND_QINGHAI_2023
sediment,Qinghai,Xining urban wetlands,3,NA,NA,Tylosin,Macrolides,1.8,ng/g,2022,CAND_QINGHAI_2023
sediment,Shaanxi,Shaanxi Hanjiang river,11,107.00618,33.05715,Chlortetracycline,Tetracyclines,2.8,ng/g,2014,128
sediment,Shaanxi,Shaanxi Hanjiang river,11,107.00618,33.05715,Ciprofloxacin,Fluoroquinolones,1.1,ng/g,2014,128
sediment,Shaanxi,Shaanxi Hanjiang river,11,107.00618,33.05715,Doxycycline,Tetracyclines,2.6,ng/g,2014,128
sediment,Shaanxi,Shaanxi Hanjiang river,11,107.00618,33.05715,Enrofloxacin,Fluoroquinolones,1.3,ng/g,2014,128
sediment,Shaanxi,Shaanxi Hanjiang river,11,107.00618,33.05715,Norfloxacin,Fluoroquinolones,1.7,ng/g,2014,128
sediment,Shaanxi,Shaanxi Hanjiang river,11,107.00618,33.05715,Ofloxacin,Fluoroquinolones,1.9,ng/g,2014,128
sediment,Shaanxi,Shaanxi Hanjiang river,11,107.00618,33.05715,Oxytetracycline,Tetracyclines,2.2,ng/g,2014,128
sediment,Shaanxi,Shaanxi Hanjiang river,11,107.00618,33.05715,Sulfadiazine,Sulfonamides,0.54,ng/g,2014,128
sediment,Shaanxi,Shaanxi Hanjiang river,11,107.00618,33.05715,Sulfadimidine,Sulfonamides,0.18,ng/g,2014,128
