sample_type,province,location,season,lon,lat,antibiotic,antibiotic_class,median_concentration,concentration_unit,sample_year,reference_number
sediment,Jiangxi,Jiangxi the Poyang lakes,7,116.275946,29.140995,Marbofloxacin,Fluoroquinolones,0.01,ng/g,2016,132
sediment,Jiangxi,Jiangxi the Poyang lakes,7,116.275946,29.140995,Norfloxacin,Fluoroquinolones,0.36,ng/g,2016,132
sediment,Jiangxi,Jiangxi the Poyang lakes,7,116.275946,29.140995,Ofloxacin,Fluoroquinolones,2.02,ng/g,2016,132
sediment,Jiangxi,Jiangxi the Poyang lakes,7,116.275946,29.140995,Oxytetracycline,Tetracyclines,0.96,ng/g,2016,132
sediment,Jiangxi,Jiangxi the Poyang lakes,7,116.275946,29.140995,Roxithromycin,Macrolides,1.2,ng/g,2016,132
sediment,Jiangxi,Jiangxi the Poyang lakes,7,116.275946,29.140995,Sulfachloropyridazine,Sulfonamides,0.08,ng/g,2016,132
sediment,Jiangxi,Jiangxi the Poyang lakes,7,116.275946,29.140995,Sulfadiazine,Sulfonamides,0.35,ng/g,2016,132
sediment,Jiangxi,Jiangxi the Poyang lakes,7,116.275946,29.140995,Sulfadimidine,Sulfonamides,0.14,ng/g,2016,132
sediment,Jiangxi,Jiangxi the Poyang lakes,7,116.275946,29.140995,Sulfadoxine,Sulfonamides,0.05,ng/g,2016,132
sediment,Jiangxi,Jiangxi the Poyang lakes,7,116.275946,29.140995,Sulfafurazole,Sulfonamides,0.07,ng/g,2016,132
sediment,Jiangxi,Jiangxi the Poyang lakes,7,116.275946,29.140995,Sulfamonomethoxine,Sulfonamides,0.27,ng/g,2016,132
sediment,Jiangxi,Jiangxi the Poyang lakes,7,116.275946,29.140995,Sulfapyridine,Sulfonamides,0.08,ng/g,2016,132
sediment,Jiangxi,Jiangxi the Poyang lakes,7,116.275946,29.140995,Sulfathiazole,Sulfonamides,0.02,ng/g,2016,132
sediment,Jiangxi,Jiangxi the Poyang lakes,7,116.275946,29.140995,Trimethoprim,Diaminopyrimidines,0.08,ng/g,2016,132
sediment,Jiangxi,Jiangxi the Poyang lakes,7,116.275946,29.140995,Tylosin,Macrolides,0.14,ng/g,2016,132
sediment,Jilin,Jilin Songhua river,10,126.454545,43.8,Ciprofloxacin,Fluoroquinolones,15.3,ng/g,2017,126
sediment,Jilin,Jilin Songhua river,10,126.454545,43.8,Doxycycline,Tetracyclines,1.2,ng/g,2017,126
sediment,Jilin,Jilin Songhua river,10,126.454545,43.8,Enrofloxacin,Fluoroquinolones,21.2,ng/g,2017,126
sediment,Jilin,Jilin Songhua river,10,126.454545,43.8,Erythromycin,Macrolides,11,ng/g,2017,126
sediment,Jilin,Jilin Songhua river,10,126.454545,43.8,Florfenicol,Phenicols,8.1,ng/g,2017,126
sediment,Jilin,Jilin Songhua river,10,126.454545,43.8,Ofloxacin,Fluoroquinolones,5,ng/g,2017,126
sediment,Jilin,Jilin Songhua river,3,126.543978272318,43.8298604806433,Ciprofloxacin,Fluoroquinolones,6.3,ng/g,2018,30
sediment,Jilin,Jilin Songhua river,3,126.543978272318,43.8298604806433,Doxycycline,Tetracyclines,2.2,ng/g,2018,30
sediment,Jilin,Jilin Songhua river,3,126.543978272318,43.8298604806433,Enrofloxacin,Fluoroquinolones,6.8,ng/g,2018,30
sediment,Jilin,Jilin Songhua river,3,126.543978272318,43.8298604806433,Erythromycin,Macrolides,10.1,ng/g,2018,30
sediment,Jilin,Jilin Songhua river,3,126.543978272318,43.8298604806433,Florfenicol,Phenicols,6.6,ng/g,2018,30
sediment,Jilin,Jilin Songhua river,3,126.543978272318,43.8298604806433,Ofloxacin,Fluoroquinolones,6.4,ng/g,2018,30
sediment,Jilin,Jilin Songhua river,7,126.454545,43.8,Ciprofloxacin,Fluoroquinolones,3.9,ng/g,2017,126
sediment,Jilin,Jilin Songhua river,7,126.454545,43.8,Doxycycline,Tetracyclines,1.7,ng/g,2017,126
sediment,Jilin,Jilin Songhua river,7,126.454545,43.8,Enrofloxacin,Fluoroquinolones,9.6,ng/g,2017,126
sediment,Jilin,Jilin Songhua river,7,126.454545,43.8,Erythromycin,Macrolides,25.1,ng/g,2017,126
sediment,Jilin,Jilin Songhua river,7,126.454545,43.8,Florfenicol,Phenicols,7.8,ng/g,2017,126
sediment,Jilin,Jilin Songhua river,7,126.454545,43.8,Norfloxacin,Fluoroquinolones,3.2,ng/g,2017,126
sediment,Jilin,Jilin Songhua river,7,126.454545,43.8,Ofloxacin,Fluoroquinolones,1.4,ng/g,2017,126
sediment,Jilin,"Liao river tributaries, Jilin Province",summer+autumn,NA,NA,Norfloxacin,Fluoroquinolones,62.8,ng/g,2015,CAND_JILIN_LIAO_2016
sediment,Jilin,"Liao river tributaries, Jilin Province",summer+autumn,NA,NA,Ofloxacin,Fluoroquinolones,152.2,ng/g,2015,CAND_JILIN_LIAO_2016
sediment,Jilin,"Liao river tributaries, Jilin Province",summer+autumn,NA,NA,Oxytetracycline,Tetracyclines,149.5,ng/g,2015,CAND_JILIN_LIAO_2016
sediment,Jilin,"Liao river, Jilin section",summer+autumn,NA,NA,Ciprofloxacin,Fluoroquinolones,15.3,ng/g,2015,NEW_JILIN_DONG_2016
sediment,Jilin,"Liao river, Jilin section",summer+autumn,NA,NA,Erythromycin,Macrolides,23.4,ng/g,2015,NEW_JILIN_DONG_2016
sediment,Jilin,"Liao river, Jilin section",summer+autumn,NA,NA,Norfloxacin,Fluoroquinolones,62.8,ng/g,2015,NEW_JILIN_DONG_2016
sediment,Jilin,"Liao river, Jilin section",summer+autumn,NA,NA,Ofloxacin,Fluoroquinolones,152.2,ng/g,2015,NEW_JILIN_DONG_2016
sediment,Jilin,"Liao river, Jilin section",summer+autumn,NA,NA,Oxytetracycline,Tetracyclines,149.5,ng/g,2015,NEW_JILIN_DONG_2016
sediment,Jilin,"Liao river, Jilin section",summer+autumn,NA,NA,Roxithromycin,Macrolides,3.6,ng/g,2015,NEW_JILIN_DONG_2016
sediment,Jilin,"Liao river, Jilin section",summer+autumn,NA,NA,Sulfadiazine,Sulfonamides,4.4,ng/g,2015,NEW_JILIN_DONG_2016
sediment,Jilin,"Liao river, Jilin section",summer+autumn,NA,NA,Sulfamethoxazole,Sulfonamides,1.4,ng/g,2015,NEW_JILIN_DONG_2016
sediment,Jilin,"Liao river, Jilin section",summer+autumn,NA,NA,Tetracycline,Tetracyclines,37.3,ng/g,2015,NEW_JILIN_DONG_2016
sediment,Liaoning,Liaoning,NA,NA,NA,Tetracycline,Tetracyclines,1.66,ng/g dw,2013,N42
sediment,Liaoning,Liaoning Bohai Sea and surrounding estuaries,11,121.62445,39.6196,Chlortetracycline,Tetracyclines,0.6,ng/g,2017,120
sediment,Liaoning,Liaoning Bohai Sea and surrounding estuaries,11,121.62445,39.6196,Ciprofloxacin,Fluoroquinolones,0.8499999999999999,ng/g,2017,120
sediment,Liaoning,Liaoning Bohai Sea and surrounding estuaries,11,121.62445,39.6196,Doxycycline,Tetracyclines,1,ng/g,2017,120
sediment,Liaoning,Liaoning Bohai Sea and surrounding estuaries,11,121.62445,39.6196,Norfloxacin,Fluoroquinolones,1.4,ng/g,2017,120
sediment,Liaoning,Liaoning Bohai Sea and surrounding estuaries,11,121.62445,39.6196,Oxytetracycline,Tetracyclines,12.3,ng/g,2017,120
sediment,Liaoning,Liaoning Bohai Sea and surrounding estuaries,11,121.62445,39.6196,Roxithromycin,Macrolides,0.9,ng/g,2017,120
sediment,Liaoning,Liaoning Bohai Sea and surrounding estuaries,11,121.62445,39.6196,Sulfadimethoxine,Sulfonamides,0.3,ng/g,2017,120
sediment,Liaoning,Liaoning Bohai Sea and surrounding estuaries,11,121.62445,39.6196,Sulfamethoxazole,Sulfonamides,0.5,ng/g,2017,120
sediment,Liaoning,Liaoning Bohai Sea and surrounding estuaries,11,121.62445,39.6196,Sulfamonomethoxine,Sulfonamides,0.2,ng/g,2017,120
sediment,Liaoning,Liaoning Bohai Sea and surrounding estuaries,11,121.62445,39.6196,Tetracycline,Tetracyclines,0.6,ng/g,2017,120
sediment,Liaoning,Liaoning Bohai Sea and surrounding estuaries,8,121.66667,41,Chlortetracycline,Tetracyclines,11.2,ng/g,2013,120
sediment,Liaoning,Liaoning Bohai Sea and surrounding estuaries,8,121.66667,41,Ciprofloxacin,Fluoroquinolones,12.9,ng/g,2013,120
