"x","antibiotic_subtype","antibiotic_type","location","studied_system","treatment_system","scale_of_experiment","type_of_sample","antibiotic_detection_method","antibiotic_concentration_residue_system_mg_kg_water_system_mg_l","test_method_of_ar_gs","target_ar_gs_q_pcr_or_detected_ar_gs_metagenomics","absolute_abundance_residue_system_copies_mg_water_system_copies_m_l","relative_abundance_copies_16s","year","source_id","source"
255,"Spectinomycin","Aminoglycosides","Hebei and Shandong Province, China","Solid waste","Hydrothermal treatment","Pilot scale","Treated residue","Liquid chromatography-tandem mass spectrometry(LC-MS/MS)","0","","","","",2022,"S068","Wang, Yidi, Zhao, X., Wang, Yongkang, Wang, I., Turap, Y., Wang, W., 2022. Hydrothermal treatment enhances the removal of antibiotic resistance genes, dewatering, and biogas production in antibiotic fermentation residues. JOURNAL OF HAZARDOUS MATERIALS 435. https://doi.org/10.1016/j.jhazmat.2022.128901"
256,"Gentamicin","Aminoglycosides","Hebei and Shandong Province, China","Solid waste","Hydrothermal treatment","Pilot scale","Raw residue","Liquid chromatography-tandem mass spectrometry(LC-MS/MS)","51 ± 1","","","","",2022,"S068","Wang, Yidi, Zhao, X., Wang, Yongkang, Wang, I., Turap, Y., Wang, W., 2022. Hydrothermal treatment enhances the removal of antibiotic resistance genes, dewatering, and biogas production in antibiotic fermentation residues. JOURNAL OF HAZARDOUS MATERIALS 435. https://doi.org/10.1016/j.jhazmat.2022.128901"
257,"Gentamicin","Aminoglycosides","Hebei and Shandong Province, China","Solid waste","Hydrothermal treatment","Pilot scale","Treated residue","Liquid chromatography-tandem mass spectrometry(LC-MS/MS)","0","","","","",2022,"S068","Wang, Yidi, Zhao, X., Wang, Yongkang, Wang, I., Turap, Y., Wang, W., 2022. Hydrothermal treatment enhances the removal of antibiotic resistance genes, dewatering, and biogas production in antibiotic fermentation residues. JOURNAL OF HAZARDOUS MATERIALS 435. https://doi.org/10.1016/j.jhazmat.2022.128901"
258,"Lincomysin","Lincosamides","Hebei and Shandong Province, China","Solid waste","Hydrothermal treatment","Pilot scale","Raw residue","Liquid chromatography-tandem mass spectrometry(LC-MS/MS)","256 ± 2","","","","",2022,"S068","Wang, Yidi, Zhao, X., Wang, Yongkang, Wang, I., Turap, Y., Wang, W., 2022. Hydrothermal treatment enhances the removal of antibiotic resistance genes, dewatering, and biogas production in antibiotic fermentation residues. JOURNAL OF HAZARDOUS MATERIALS 435. https://doi.org/10.1016/j.jhazmat.2022.128901"
259,"Lincomysin","Lincosamides","Hebei and Shandong Province, China","Solid waste","Hydrothermal treatment","Pilot scale","Treated residue","Liquid chromatography-tandem mass spectrometry(LC-MS/MS)","0","","","","",2022,"S068","Wang, Yidi, Zhao, X., Wang, Yongkang, Wang, I., Turap, Y., Wang, W., 2022. Hydrothermal treatment enhances the removal of antibiotic resistance genes, dewatering, and biogas production in antibiotic fermentation residues. JOURNAL OF HAZARDOUS MATERIALS 435. https://doi.org/10.1016/j.jhazmat.2022.128901"
260,"Tylosine","Macrolides","Hebei and Shandong Province, China","Solid waste","Hydrothermal treatment","Pilot scale","Raw residue","Liquid chromatography-tandem mass spectrometry(LC-MS/MS)","625 ± 3","","","","",2022,"S068","Wang, Yidi, Zhao, X., Wang, Yongkang, Wang, I., Turap, Y., Wang, W., 2022. Hydrothermal treatment enhances the removal of antibiotic resistance genes, dewatering, and biogas production in antibiotic fermentation residues. JOURNAL OF HAZARDOUS MATERIALS 435. https://doi.org/10.1016/j.jhazmat.2022.128901"
261,"Tylosine","Macrolides","Hebei and Shandong Province, China","Solid waste","Hydrothermal treatment","Pilot scale","Treated residue","Liquid chromatography-tandem mass spectrometry(LC-MS/MS)","0","","","","",2022,"S068","Wang, Yidi, Zhao, X., Wang, Yongkang, Wang, I., Turap, Y., Wang, W., 2022. Hydrothermal treatment enhances the removal of antibiotic resistance genes, dewatering, and biogas production in antibiotic fermentation residues. JOURNAL OF HAZARDOUS MATERIALS 435. https://doi.org/10.1016/j.jhazmat.2022.128901"
262,"Oxytetracycline","Tetracyclines","Hebei and Shandong Province, China","Solid waste","Hydrothermal treatment","Pilot scale","Raw residue","Liquid chromatography-tandem mass spectrometry(LC-MS/MS)","1715 ± 5","","","","",2022,"S068","Wang, Yidi, Zhao, X., Wang, Yongkang, Wang, I., Turap, Y., Wang, W., 2022. Hydrothermal treatment enhances the removal of antibiotic resistance genes, dewatering, and biogas production in antibiotic fermentation residues. JOURNAL OF HAZARDOUS MATERIALS 435. https://doi.org/10.1016/j.jhazmat.2022.128901"
263,"Oxytetracycline","Tetracyclines","Hebei and Shandong Province, China","Solid waste","Hydrothermal treatment","Pilot scale","Treated residue","Liquid chromatography-tandem mass spectrometry(LC-MS/MS)","97 ± 1","","","","",2022,"S068","Wang, Yidi, Zhao, X., Wang, Yongkang, Wang, I., Turap, Y., Wang, W., 2022. Hydrothermal treatment enhances the removal of antibiotic resistance genes, dewatering, and biogas production in antibiotic fermentation residues. JOURNAL OF HAZARDOUS MATERIALS 435. https://doi.org/10.1016/j.jhazmat.2022.128901"
264,"Bacitracin","Peptide antibiotics","Hebei and Shandong Province, China","Solid waste","Hydrothermal treatment","Pilot scale","Raw residue","Liquid chromatography-tandem mass spectrometry(LC-MS/MS)","92 ± 2","","","","",2022,"S068","Wang, Yidi, Zhao, X., Wang, Yongkang, Wang, I., Turap, Y., Wang, W., 2022. Hydrothermal treatment enhances the removal of antibiotic resistance genes, dewatering, and biogas production in antibiotic fermentation residues. JOURNAL OF HAZARDOUS MATERIALS 435. https://doi.org/10.1016/j.jhazmat.2022.128901"
265,"Bacitracin","Peptide antibiotics","Hebei and Shandong Province, China","Solid waste","Hydrothermal treatment","Pilot scale","Treated residue","Liquid chromatography-tandem mass spectrometry(LC-MS/MS)","0","","","","",2022,"S068","Wang, Yidi, Zhao, X., Wang, Yongkang, Wang, I., Turap, Y., Wang, W., 2022. Hydrothermal treatment enhances the removal of antibiotic resistance genes, dewatering, and biogas production in antibiotic fermentation residues. JOURNAL OF HAZARDOUS MATERIALS 435. https://doi.org/10.1016/j.jhazmat.2022.128901"
266,"Tylosine","Macrolides","Shandong Province, China","Solid waste","Bioaugmented-aerobic composting","Laboratory scale","Raw residue","Ultra performance liquid chromatography-tandem mass spectrometry（UPLC-MS/MS）","1898.4","","","","",2022,"S069","Zhang, B., Guo, Z., Qu, J., Zhang, J., Liu, J., Tao, Y., Zhang, Y., Sardar, M.F., Dai, X., Liu, H., 2022. Simultaneous reductions in antibiotic, antibiotic resistance genes and nitrogen loss during bioaugmentation tylosin fermentation dregs co-composting. Science of The Total Environment 850, 158069. https://doi.org/10.1016/j.scitotenv.2022.158069"
267,"Tylosine","Macrolides","Shandong Province, China","Solid waste","Bioaugmented-aerobic composting","Laboratory scale","Mixed residue","Ultra performance liquid chromatography-tandem mass spectrometry（UPLC-MS/MS）","423","","","","",2022,"S069","Zhang, B., Guo, Z., Qu, J., Zhang, J., Liu, J., Tao, Y., Zhang, Y., Sardar, M.F., Dai, X., Liu, H., 2022. Simultaneous reductions in antibiotic, antibiotic resistance genes and nitrogen loss during bioaugmentation tylosin fermentation dregs co-composting. Science of The Total Environment 850, 158069. https://doi.org/10.1016/j.scitotenv.2022.158069"
268,"Tylosine","Macrolides","Shandong Province, China","Solid waste","Bioaugmented-aerobic composting","Laboratory scale","Composting product","Ultra performance liquid chromatography-tandem mass spectrometry（UPLC-MS/MS）","Not detected","","","","",2022,"S069","Zhang, B., Guo, Z., Qu, J., Zhang, J., Liu, J., Tao, Y., Zhang, Y., Sardar, M.F., Dai, X., Liu, H., 2022. Simultaneous reductions in antibiotic, antibiotic resistance genes and nitrogen loss during bioaugmentation tylosin fermentation dregs co-composting. Science of The Total Environment 850, 158069. https://doi.org/10.1016/j.scitotenv.2022.158069"
269,"Oxytetracycline","Tetracyclines","Inner Mongolia Autonomous Region, China","Solid waste","Aerobic composting","Laboratory scale","Composting product","","","Quantitative Real-time PCR","8tet, 2otr","Increased 5.91-fold","",2020,"S070","Gong, P., Liu, H., Xin, Y., Wang, G., Dai, X., Yao, J., 2020. Composting of oxytetracycline fermentation residue in combination with hydrothermal pretreatment for reducing antibiotic resistance genes enrichment. Bioresour. Technol. 318, 124271. https://doi.org/10.1016/j.biortech.2020.124271"
270,"Oxytetracycline","Tetracyclines","Inner Mongolia Autonomous Region, China","Solid waste","Hydrothermal-aerobic composting","Laboratory scale","Composting product","","","Quantitative Real-time PCR","8tet, 3otr","Increased 495.69-fold","",2020,"S070","Gong, P., Liu, H., Xin, Y., Wang, G., Dai, X., Yao, J., 2020. Composting of oxytetracycline fermentation residue in combination with hydrothermal pretreatment for reducing antibiotic resistance genes enrichment. Bioresour. Technol. 318, 124271. https://doi.org/10.1016/j.biortech.2020.124271"
