dataset,country,province,city,author_loc_ref,lon,lat,sample_type,sam_Y,sam_M,ABX_cat,ABX_subcat,ABX_subcat_abbre,ABX_conc_mean,unit
Zhang_2022,China,Guangdong,NA,Pearl River Delta,113.8251756,23.08574066,soil,NA,NA,Fluoroquinolones,Ciprofloxacin,CFX,9.31,μg/kg
Zhang_2022,China,Guangdong,NA,the Pearl Rivers,113.233582,23.170895,sediments,2008,9,Fluoroquinolones,Ofloxacin,OFX,234.64285714285717,μg/kg
Zhang_2022,China,Guangdong,NA,the Pearl Rivers,113.233582,23.170895,sediments,2009,2,Fluoroquinolones,Ofloxacin,OFX,417.86666666666656,μg/kg
Zhang_2022,China,Guangdong,NA,the Pearl Rivers,113.233582,23.170895,sediments,2008,9,Fluoroquinolones,Norfloxacin,NFX,160.07857142857142,μg/kg
Zhang_2022,China,Guangdong,NA,the Pearl Rivers,113.233582,23.170895,sediments,2009,2,Fluoroquinolones,Norfloxacin,NFX,161.32500000000002,μg/kg
Zhang_2022,China,Guangdong,NA,the Pearl Rivers,113.233582,23.170895,sediments,2008,9,Fluoroquinolones,Ciprofloxacin,CFX,35.19285714285715,μg/kg
Zhang_2022,China,Guangdong,NA,the Pearl Rivers,113.233582,23.170895,sediments,2009,2,Fluoroquinolones,Ciprofloxacin,CFX,47.77666666666666,μg/kg
Zhang_2022,China,Guangdong,NA,the Pearl Rivers,113.233582,23.170895,sediments,2008,9,Macrolides,Roxithromycin,RTM,52.79857142857144,μg/kg
Zhang_2022,China,Guangdong,NA,the Pearl Rivers,113.233582,23.170895,sediments,2009,2,Macrolides,Roxithromycin,RTM,15.875833333333334,μg/kg
Zhang_2022,China,Guangdong,NA,the Pearl Rivers,113.233582,23.170895,sediments,2008,9,Macrolides,Erythromycin-H2O,ETM-H2O,56.40714285714285,μg/kg
Zhang_2022,China,Guangdong,NA,the Pearl Rivers,113.233582,23.170895,sediments,2009,2,Macrolides,Erythromycin-H2O,ETM-H2O,23.596666666666664,μg/kg
Zhang_2022,China,Guangdong,NA,the Pearl Rivers,113.233582,23.170895,sediments,2008,9,Sulfonamides,Sulfapyridine,SPD,0,μg/kg
Zhang_2022,China,Guangdong,NA,the Pearl Rivers,113.233582,23.170895,sediments,2009,2,Sulfonamides,Sulfapyridine,SPD,0,μg/kg
Zhang_2022,China,Guangdong,NA,the Pearl Rivers,113.233582,23.170895,sediments,2008,9,Sulfonamides,Sulfamethazine,SMZ,35.695,μg/kg
Zhang_2022,China,Guangdong,NA,the Pearl Rivers,113.233582,23.170895,sediments,2009,2,Sulfonamides,Sulfamethazine,SMZ,53.3875,μg/kg
Zhang_2022,China,Guangdong,NA,the Pearl Rivers,113.233582,23.170895,sediments,2008,9,Sulfonamides,Sulfamethoxazole,SMX,0,μg/kg
Zhang_2022,China,Guangdong,NA,the Pearl Rivers,113.233582,23.170895,sediments,2009,2,Sulfonamides,Sulfamethoxazole,SMX,0,μg/kg
