dataset,country,province,city,author_loc_ref,lon,lat,sample_type,sam_Y,sam_M,ABX_cat,ABX_subcat,ABX_subcat_clean,ABX_subcat_abbre,ABX_conc_mean,unit,abx
Zhang_2022,China,Zhejiang,NA,Tiaoxi River,120.055573,30.428926,sediments,NA,NA,Tetracyclines,Tetracycline,tetracycline,TC,9.9,μg/kg,tetracycline
Zhang_2022,China,Zhejiang,NA,Tiaoxi River,120.055573,30.428926,sediments,NA,NA,Tetracyclines,Oxytetracycline,oxytetracycline,OTC,52.1,μg/kg,oxytetracycline
Zhang_2022,China,Zhejiang,NA,Tiaoxi River,120.055573,30.428926,sediments,NA,NA,Tetracyclines,Doxycycline,doxycycline,DXC,11.3,μg/kg,doxycycline
Zhang_2022,China,Zhejiang,NA,Tiaoxi River,120.055573,30.428926,sediments,NA,NA,Tetracyclines,Chlortetracycline,chlortetracycline,CTC,41.9,μg/kg,chlortetracycline
Zhang_2022,China,Fujian,NA,Jiulongjiang River,117.530254,25.187592,sediments,2010,1,Sulfonamides,Sulfamerazine,sulfamerazine,SMZ1,2.28,μg/kg,sulfamerazine
Zhang_2022,China,Fujian,NA,Jiulongjiang River,117.530254,25.187592,sediments,2010,1,Sulfonamides,Sulfamethazine,sulfamethazine,SMZ,8.33,μg/kg,sulfamethazine
Zhang_2022,China,Fujian,NA,Jiulongjiang River,117.530254,25.187592,sediments,2010,1,Sulfonamides,Sulfamethoxazole,sulfamethoxazole,SMX,1.57,μg/kg,sulfamethoxazole
Zhang_2022,China,Fujian,NA,Jiulongjiang River,117.530254,25.187592,sediments,2010,1,Sulfonamides,Sulfameter,sulfameter,SME,0.97,μg/kg,sulfameter
Zhang_2022,China,Fujian,NA,Jiulongjiang River,117.530254,25.187592,sediments,2010,1,Sulfonamides,Sulfadiazine,sulfadiazine,SDZ,3.57,μg/kg,sulfadiazine
Zhang_2022,China,Fujian,NA,Jiulongjiang River,117.530254,25.187592,sediments,2010,1,Sulfonamides,Sulfadimethoxine,sulfadimethoxine,SDM,0,μg/kg,sulfadimethoxine
Zhang_2022,China,Fujian,NA,Jiulongjiang River,117.530254,25.187592,sediments,2010,1,Tetracyclines,Tetracycline,tetracycline,TC,107.59,μg/kg,tetracycline
Zhang_2022,China,Fujian,NA,Jiulongjiang River,117.530254,25.187592,sediments,2010,1,Tetracyclines,Oxytetracycline,oxytetracycline,OTC,1430.17,μg/kg,oxytetracycline
Zhang_2022,China,Fujian,NA,Jiulongjiang River,117.530254,25.187592,sediments,2010,1,Tetracyclines,Chlortetracycline,chlortetracycline,CTC,2326.85,μg/kg,chlortetracycline
Zhang_2022,China,Guangdong,Guangzhou,NA,113.264434,23.129162,municipal sludge,2008,NA,Fluoroquinolones,Ofloxacin,ofloxacin,OFX,9550.5,μg/kg,ofloxacin
Zhang_2022,China,Guangdong,Guangzhou,NA,113.264434,23.129162,municipal sludge,2008,NA,Tetracyclines,Norfloxacin,norfloxacin,NFX,7325.5,μg/kg,norfloxacin
Zhang_2022,China,Guangdong,Guangzhou,NA,113.264434,23.129162,municipal sludge,2008,NA,Tetracyclines,Ciprofloxacin,ciprofloxacin,CFX,5753,μg/kg,ciprofloxacin
Zhang_2022,China,Tianjin,Tianjin,NA,117.467694,39.15275,sediments,2009,12,Sulfonamides,Sulfisoxazole,sulfisoxazole,SSZ,4.14,μg/kg,sulfisoxazole
Zhang_2022,China,Tianjin,Tianjin,NA,117.436722,39.334833,sediments,2009,12,Sulfonamides,Sulfisoxazole,sulfisoxazole,SSZ,6.45,μg/kg,sulfisoxazole
Zhang_2022,China,Tianjin,Tianjin,NA,117.334806,39.2525,sediments,2009,7,Sulfonamides,Sulfamethoxazole,sulfamethoxazole,SMX,1.53,μg/kg,sulfamethoxazole
Zhang_2022,China,Tianjin,Tianjin,NA,117.182889,38.961056,sediments,2009,12,Sulfonamides,Sulfamethoxazole,sulfamethoxazole,SMX,5.49,μg/kg,sulfamethoxazole
Zhang_2022,China,Tianjin,Tianjin,NA,117.391833,39.010056,sediments,2009,12,Sulfonamides,Sulfamethoxazole,sulfamethoxazole,SMX,18.85,μg/kg,sulfamethoxazole
Zhang_2022,China,Tianjin,Tianjin,NA,117.467694,39.15275,sediments,2009,12,Sulfonamides,Sulfamethoxazole,sulfamethoxazole,SMX,2.45,μg/kg,sulfamethoxazole
Zhang_2022,China,Tianjin,Tianjin,NA,117.334806,39.2525,sediments,2009,12,Sulfonamides,Sulfamethoxazole,sulfamethoxazole,SMX,7.56,μg/kg,sulfamethoxazole
Zhang_2022,China,Tianjin,Tianjin,NA,117.334583,39.291861,sediments,2009,12,Sulfonamides,Sulfamethoxazole,sulfamethoxazole,SMX,6.14,μg/kg,sulfamethoxazole
Zhang_2022,China,Tianjin,Tianjin,NA,117.436722,39.334833,sediments,2009,12,Sulfonamides,Sulfamethoxazole,sulfamethoxazole,SMX,3.1,μg/kg,sulfamethoxazole
Zhang_2022,China,Tianjin,Tianjin,NA,117.436722,39.334833,sediments,2009,12,Sulfonamides,Sulfamethoxazole,sulfamethoxazole,SMX,4.72,μg/kg,sulfamethoxazole
Zhang_2022,China,Tianjin,Tianjin,NA,117.182889,38.961056,sediments,2009,12,Sulfonamides,Sulfamethizole,sulfamethizole,SMTZ,4.78,μg/kg,sulfamethizole
Zhang_2022,China,Tianjin,Tianjin,NA,117.391833,39.010056,sediments,2009,12,Sulfonamides,Sulfamethizole,sulfamethizole,SMTZ,10.49,μg/kg,sulfamethizole
Zhang_2022,China,Tianjin,Tianjin,NA,117.467694,39.15275,sediments,2009,12,Sulfonamides,Sulfamethizole,sulfamethizole,SMTZ,21.67,μg/kg,sulfamethizole
Zhang_2022,China,Tianjin,Tianjin,NA,117.334806,39.2525,sediments,2009,12,Sulfonamides,Sulfamethizole,sulfamethizole,SMTZ,11.03,μg/kg,sulfamethizole
