scenario,matrix,env_class,endpoint,driver_metric,n_provinces,n_clusters,env_records_total,env_refs_total,n_units,env_year_min,env_year_max,env_amr_rho,env_amr_p,partial_env_amr_rho,partial_env_amr_p,cluster_contrast_p,cluster_contrast_epsilon,driver_env_rho,driver_env_p,driver_amr_rho,driver_amr_p,coherent_direction,loo_sign_stability,loo_influence_ratio,loo_most_influential_province,coverage_score,interpretability_score,cluster_contrast_score,loo_sign_stability_score,driver_env_amr_coherence_score,env_amr_q_fdr,partial_env_amr_q_fdr,matrix_consistency_score,pathway_total_score,pathway_class,pathway_class_rank,rf_driver_support,elastic_net_driver_support,multivariable_env_support,bootstrap_sign_stability
all_years,soil,sulfonamides,A. baumannii | Levofloxacin,WastewaterHealthIndex,20,3,313,56,2,2006,2019,0.4122090413316245,0.07091244585562852,0.24661654135338343,0.2945519940720425,0.22138678024989444,0.05974634944612272,0.546346535585791,0.01268899791006537,0.3082706766917293,0.18605556077810145,TRUE,1,0.3381644016322344,Guangxi,4,2,1,5,5,0.8679810523175701,0.8425634371881998,3,20,Strong lead,2,NA,NA,NA,NA
all_years,soil,sulfonamides,A. baumannii | Ceftriaxone,WastewaterHealthIndex,20,3,313,56,2,2006,2019,0.4084411341896535,0.07379058546156718,0.2932330827067669,0.2095713888030252,0.22138678024989444,0.05974634944612272,0.546346535585791,0.01268899791006537,0.18345864661654135,0.4387948865691029,TRUE,1,0.2769275789472622,Guangdong,4,2,1,5,4,0.8679810523175701,0.8015830352816234,4,20,Strong lead,2,NA,NA,NA,NA
all_years,soil,macrolides,S. aureus | Nitrofurantoin,grp_per_capita_2024,20,3,104,34,2,2006,2020,-0.4068118348204012,0.07506178749689996,-0.4556390977443609,0.04349340980546595,0.3132637601270729,0.0189070304928052,0.21399209898545263,0.3649682823792031,-0.35639097744360904,0.1229863108022689,TRUE,1,0.3690337653541678,Liaoning,4,2,0,5,4,0.8679810523175701,0.6332640467675843,5,20,Strong lead,2,NA,NA,NA,NA
all_years,soil,macrolides,P. aeruginosa | Piperacillin,milk_output_2024,20,3,104,34,2,2006,2020,0.3153169797771511,0.17567573391567537,0.26917293233082706,0.2511314536907906,0.3132637601270729,0.0189070304928052,0.43554575623894254,0.0549211309355769,0.48872180451127817,0.02877203005499609,TRUE,1,0.3643035118369642,Tibet,4,2,0,5,5,0.9051250825112186,0.8197394365802757,4,20,Strong lead,2,NA,NA,NA,NA
all_years,soil,sulfonamides,S. aureus | Ciprofloxacin,WastewaterHealthIndex,20,3,313,56,2,2006,2019,0.30369331564286045,0.19301587918638177,-0.01353383458646616,0.9548397533571388,0.22138678024989444,0.05974634944612272,0.546346535585791,0.01268899791006537,0.5849624060150376,0.00674477152950776,TRUE,1,0.5560171686030875,Jilin,4,2,1,5,5,0.9093446062785512,0.9905724656831132,3,20,Strong lead,2,NA,NA,NA,NA
all_years,soil,sulfonamides,S. aureus | Nitrofurantoin,grp_per_capita_2024,20,3,313,56,2,2006,2019,-0.2667678256515449,0.25555513809073127,-0.19548872180451127,0.4088190895202316,0.22138678024989444,0.05974634944612272,0.5425786284438201,0.01344424302302041,-0.4601503759398496,0.04120071780195451,TRUE,1,0.5165803678658333,Zhejiang,4,2,1,5,4,0.9094639281547536,0.8775219685850676,4,20,Strong lead,2,NA,NA,NA,NA
all_years,soil,sulfonamides,P. aeruginosa | Piperacillin,sewage_pipe_length_2024,20,3,313,56,2,2006,2019,0.2539569413688436,0.27994688749704266,0.18345864661654135,0.4387948865691029,0.22138678024989444,0.05974634944612272,0.5516216055845504,0.01168958595911994,0.23157894736842105,0.32589862703879313,TRUE,1,0.4441656608413012,Guangdong,4,2,1,5,4,0.9094639281547536,0.8832516426423233,4,20,Strong lead,2,NA,NA,NA,NA
all_years,soil,sulfonamides,E. coli | Amikacin,freshwater_aquatic_products_2024,20,3,313,56,2,2006,2019,-0.19291684566891384,0.4151319679153028,-0.2947368421052632,0.20713542085215372,0.22138678024989444,0.05974634944612272,0.38131220276746247,0.09714763174216907,-0.2736842105263158,0.2429663690613065,TRUE,1,0.5683007037808229,Yunnan,4,2,1,5,4,0.9640431604344516,0.8001724441144953,4,20,Strong lead,2,NA,NA,NA,NA
all_years,soil,sulfonamides,S. aureus | Rifampicin,WastewaterHealthIndex,20,3,313,56,2,2006,2019,-0.1816131242430009,0.4434930760667771,0.04812030075187969,0.8403389659546906,0.22138678024989444,0.05974634944612272,0.546346535585791,0.01268899791006537,-0.2887218045112782,0.2169926666873037,TRUE,1,0.7191832476068846,Zhejiang,4,2,1,5,4,0.9640431604344516,0.9788268275440236,4,20,Strong lead,2,NA,NA,NA,NA
sample_year_ge_2012,soil,tetracyclines,S. aureus | Erythromycin,EconomicScaleIndex,18,3,158,35,2,2012,2022,0.36091080295285033,0.141178487402527,0.16821465428276572,0.5046325110850313,0.21851554994711475,0.06945308002302826,-0.305225406394922,0.21807991411742456,-0.3789365502402306,0.12095646284592164,TRUE,1,0.33283524456448554,Liaoning,4,2,1,5,5,0.9897658389202042,0.927523058321546,3,20,Strong lead,2,NA,NA,NA,NA
sample_year_ge_2012,soil,tetracyclines,S. aureus | Cefoxitin,EconomicScaleIndex,18,3,158,35,2,2012,2022,-0.33402346519705056,0.17551413212679615,0.1393188854489164,0.5813962095847576,0.21851554994711475,0.06945308002302826,-0.305225406394922,0.21807991411742456,0.8115643828033277,4.342287422358321e-5,TRUE,1,0.4711600407341539,Shanxi,4,2,1,5,5,0.9897658389202042,0.9417766148120588,3,20,Strong lead,2,NA,NA,NA,NA
all_years,sediment,diaminopyrimidines,S. aureus | Penicillin G,chemical_fertilizers_2024,18,3,122,45,2,2008,2020,-0.32714138286893707,0.18513284759128767,-0.24664602683178535,0.32380881293776353,0.01039862314664235,0.47547758284600455,-0.24458204334365324,0.3280041243603068,0.6676986584107327,0.00246239429770864,TRUE,1,0.3856466876971608,Tianjin,4,2,5,5,4,0.9051250825112186,0.8615945926123393,0,20,Strong lead,2,NA,NA,NA,NA
