sample_type,province,antibiotic,antibiotic_class,median_concentration,concentration_unit,sample_year,reference_number
municipal sludge,Hunan,Ciprofloxacin,Fluoroquinolones,120,ng/g,2017,144
municipal sludge,Hunan,Clarithromycin,Macrolides,29,ng/g,2017,144
municipal sludge,Hunan,Doxycycline,Tetracyclines,28,ng/g,2017,144
municipal sludge,Hunan,Enrofloxacin,Fluoroquinolones,41,ng/g,2017,144
municipal sludge,Hunan,Erythromycin-H2O,Macrolides,7.3,ng/g,2017,144
municipal sludge,Hunan,Flumequine,Fluoroquinolones,0.85,ng/g,2017,144
municipal sludge,Hunan,Norfloxacin,Fluoroquinolones,1400,ng/g,2017,144
municipal sludge,Hunan,Ofloxacin,Fluoroquinolones,3300,ng/g,2017,144
municipal sludge,Hunan,Oxytetracycline,Tetracyclines,810,ng/g,2017,144
municipal sludge,Hunan,Roxithromycin,Macrolides,57,ng/g,2017,144
municipal sludge,Hunan,Tetracycline,Tetracyclines,230,ng/g,2017,144
municipal sludge,Hunan,Trimethoprim,Diaminopyrimidines,2.6,ng/g,2017,144
municipal sludge,Jiangsu,Azithromycin,Macrolides,3819.975,ng/g,2015,121
municipal sludge,Jiangsu,Chlortetracycline,Tetracyclines,8.5,ng/g,2015,121
municipal sludge,Jiangsu,Ciprofloxacin,Fluoroquinolones,83.29999999999998,ng/g,2015,121
municipal sludge,Jiangsu,Clarithromycin,Macrolides,5.3,ng/g,2015,121
municipal sludge,Jiangsu,Doxycycline,Tetracyclines,13.6,ng/g,2015,121
municipal sludge,Jiangsu,Enrofloxacin,Fluoroquinolones,6.6,ng/g,2015,121
municipal sludge,Jiangsu,Erythromycin-H2O,Macrolides,6.2,ng/g,2015,121
municipal sludge,Jiangsu,Lomefloxacin,Fluoroquinolones,75.29999999999998,ng/g,2015,121
municipal sludge,Jiangsu,Norfloxacin,Fluoroquinolones,2375.575,ng/g,2015,121
municipal sludge,Jiangsu,Ofloxacin,Fluoroquinolones,5988.8,ng/g,2015,121
municipal sludge,Jiangsu,Oxytetracycline,Tetracyclines,387.8,ng/g,2015,121
municipal sludge,Jiangsu,Roxithromycin,Macrolides,13.4,ng/g,2015,121
municipal sludge,Jiangsu,Sulfadiazine,Sulfonamides,3.4,ng/g,2015,121
municipal sludge,Jiangsu,Sulfadimethoxine,Sulfonamides,4.9,ng/g,2015,121
municipal sludge,Jiangsu,Sulfadimidine,Sulfonamides,0.8,ng/g,2015,121
municipal sludge,Jiangsu,Sulfamerazine,Sulfonamides,15.3,ng/g,2015,121
municipal sludge,Jiangsu,Sulfamethoxazole,Sulfonamides,4.2,ng/g,2015,121
municipal sludge,Jiangsu,Sulfathiazole,Sulfonamides,7.1,ng/g,2015,121
municipal sludge,Jiangsu,Tetracycline,Tetracyclines,57.4,ng/g,2015,121
municipal sludge,Jiangsu,Trimethoprim,Diaminopyrimidines,18,ng/g,2015,121
municipal sludge,Liaoning,Azithromycin,Macrolides,510.5,ng/g,2015,121
municipal sludge,Liaoning,Chlortetracycline,Tetracyclines,8.5,ng/g,2015,121
municipal sludge,Liaoning,Ciprofloxacin,Fluoroquinolones,83.29999999999998,ng/g,2015,121
municipal sludge,Liaoning,Clarithromycin,Macrolides,5.3,ng/g,2015,121
municipal sludge,Liaoning,Doxycycline,Tetracyclines,13.6,ng/g,2015,121
municipal sludge,Liaoning,Enrofloxacin,Fluoroquinolones,6.6,ng/g,2015,121
municipal sludge,Liaoning,Erythromycin-H2O,Macrolides,6.2,ng/g,2015,121
municipal sludge,Liaoning,Lomefloxacin,Fluoroquinolones,75.29999999999998,ng/g,2015,121
municipal sludge,Liaoning,Norfloxacin,Fluoroquinolones,1127.15,ng/g,2015,121
municipal sludge,Liaoning,Ofloxacin,Fluoroquinolones,1639.9,ng/g,2015,121
municipal sludge,Liaoning,Oxytetracycline,Tetracyclines,387.8,ng/g,2015,121
municipal sludge,Liaoning,Roxithromycin,Macrolides,28.5,ng/g,2015,121
municipal sludge,Liaoning,Sulfadiazine,Sulfonamides,3.4,ng/g,2015,121
municipal sludge,Liaoning,Sulfadimethoxine,Sulfonamides,4.9,ng/g,2015,121
municipal sludge,Liaoning,Sulfadimidine,Sulfonamides,0.8,ng/g,2015,121
municipal sludge,Liaoning,Sulfamerazine,Sulfonamides,15.3,ng/g,2015,121
municipal sludge,Liaoning,Sulfamethoxazole,Sulfonamides,4.2,ng/g,2015,121
municipal sludge,Liaoning,Sulfathiazole,Sulfonamides,7.1,ng/g,2015,121
municipal sludge,Liaoning,Tetracycline,Tetracyclines,57.4,ng/g,2015,121
municipal sludge,Liaoning,Trimethoprim,Diaminopyrimidines,18,ng/g,2015,121
municipal sludge,Qinghai,Azithromycin,Macrolides,749,ng/g,2015,121
municipal sludge,Qinghai,Chlortetracycline,Tetracyclines,8.5,ng/g,2015,121
municipal sludge,Qinghai,Ciprofloxacin,Fluoroquinolones,83.29999999999998,ng/g,2015,121
municipal sludge,Qinghai,Clarithromycin,Macrolides,5.3,ng/g,2015,121
municipal sludge,Qinghai,Doxycycline,Tetracyclines,13.6,ng/g,2015,121
municipal sludge,Qinghai,Enrofloxacin,Fluoroquinolones,6.6,ng/g,2015,121
municipal sludge,Qinghai,Erythromycin-H2O,Macrolides,6.2,ng/g,2015,121
municipal sludge,Qinghai,Lomefloxacin,Fluoroquinolones,75.29999999999998,ng/g,2015,121
municipal sludge,Qinghai,Norfloxacin,Fluoroquinolones,2003.7,ng/g,2015,121
municipal sludge,Qinghai,Ofloxacin,Fluoroquinolones,3150,ng/g,2015,121
municipal sludge,Qinghai,Oxytetracycline,Tetracyclines,387.8,ng/g,2015,121
municipal sludge,Qinghai,Roxithromycin,Macrolides,13.4,ng/g,2015,121
municipal sludge,Qinghai,Sulfadiazine,Sulfonamides,3.4,ng/g,2015,121
municipal sludge,Qinghai,Sulfadimethoxine,Sulfonamides,4.9,ng/g,2015,121
municipal sludge,Qinghai,Sulfadimidine,Sulfonamides,0.8,ng/g,2015,121
municipal sludge,Qinghai,Sulfamerazine,Sulfonamides,15.3,ng/g,2015,121
municipal sludge,Qinghai,Sulfamethoxazole,Sulfonamides,4.2,ng/g,2015,121
municipal sludge,Qinghai,Sulfathiazole,Sulfonamides,7.1,ng/g,2015,121
municipal sludge,Qinghai,Tetracycline,Tetracyclines,57.4,ng/g,2015,121
municipal sludge,Qinghai,Trimethoprim,Diaminopyrimidines,18,ng/g,2015,121
municipal sludge,Shandong,Azithromycin,Macrolides,749,ng/g,2015,121
municipal sludge,Shandong,Chlortetracycline,Tetracyclines,8.5,ng/g,2015,121
municipal sludge,Shandong,Ciprofloxacin,Fluoroquinolones,83.29999999999998,ng/g,2015,121
municipal sludge,Shandong,Clarithromycin,Macrolides,5.3,ng/g,2015,121
municipal sludge,Shandong,Doxycycline,Tetracyclines,13.6,ng/g,2015,121
municipal sludge,Shandong,Enrofloxacin,Fluoroquinolones,6.6,ng/g,2015,121
municipal sludge,Shandong,Erythromycin-H2O,Macrolides,6.2,ng/g,2015,121
municipal sludge,Shandong,Lomefloxacin,Fluoroquinolones,75.29999999999998,ng/g,2015,121
municipal sludge,Shandong,Norfloxacin,Fluoroquinolones,2003.7,ng/g,2015,121
municipal sludge,Shandong,Ofloxacin,Fluoroquinolones,3150,ng/g,2015,121
municipal sludge,Shandong,Oxytetracycline,Tetracyclines,387.8,ng/g,2015,121
municipal sludge,Shandong,Roxithromycin,Macrolides,13.4,ng/g,2015,121
municipal sludge,Shandong,Sulfadiazine,Sulfonamides,3.4,ng/g,2015,121
municipal sludge,Shandong,Sulfadimethoxine,Sulfonamides,4.9,ng/g,2015,121
municipal sludge,Shandong,Sulfadimidine,Sulfonamides,0.8,ng/g,2015,121
municipal sludge,Shandong,Sulfamerazine,Sulfonamides,15.3,ng/g,2015,121
municipal sludge,Shandong,Sulfamethoxazole,Sulfonamides,4.2,ng/g,2015,121
municipal sludge,Shandong,Sulfathiazole,Sulfonamides,7.1,ng/g,2015,121
municipal sludge,Shandong,Tetracycline,Tetracyclines,57.4,ng/g,2015,121
municipal sludge,Shandong,Trimethoprim,Diaminopyrimidines,18,ng/g,2015,121
municipal sludge,Shanghai,Azithromycin,Macrolides,749,ng/g,2015,121
municipal sludge,Shanghai,Chlortetracycline,Tetracyclines,8.5,ng/g,2015,121
municipal sludge,Shanghai,Ciprofloxacin,Fluoroquinolones,83.29999999999998,ng/g,2015,121
municipal sludge,Shanghai,Clarithromycin,Macrolides,5.3,ng/g,2015,121
municipal sludge,Shanghai,Doxycycline,Tetracyclines,13.6,ng/g,2015,121
municipal sludge,Shanghai,Enrofloxacin,Fluoroquinolones,6.6,ng/g,2015,121
municipal sludge,Shanghai,Erythromycin-H2O,Macrolides,6.2,ng/g,2015,121
