province,antibiotic,metric,value,unit,china_mean,fold_change,log2_fc,qu_category,qu_subcategory,NBS_region,RR_ranking,k2_groups,k3_groups,k4_groups
Ningxia,Levofloxacin,E. coli_resistance_2022,50.22766590118408,% resistant strains,48.704415752041726,1.031275401329057,0.04442965479616569,Fourth,6,Western,16,2,3,3
Ningxia,Ciprofloxacin,E. coli_resistance_2022,55.703169107437134,% resistant strains,51.43540472753586,1.082973282751609,0.11499765170227712,Fourth,6,Western,16,2,3,3
Ningxia,Cefazolin,E. coli_resistance_2022,64.53770995140076,% resistant strains,61.85638077797428,1.0433476569385909,0.06121996262117042,Fourth,6,Western,16,2,3,3
Ningxia,Ampicillin,E. coli_resistance_2022,81.44423961639404,% resistant strains,82.00635583169999,0.9931454555003082,-0.00992306539039781,Fourth,6,Western,16,2,3,3
Ningxia,Amikacin,K. pneumoniae_resistance_2022,0.5462398286908865,% resistant strains,6.437324690632522,0.0848550997413203,-3.5588548222823153,Fourth,6,Western,16,2,3,3
Ningxia,Meropenem,K. pneumoniae_resistance_2022,1.3107902370393276,% resistant strains,9.422177827406314,0.13911754384709538,-2.8456237280251027,Fourth,6,Western,16,2,3,3
Ningxia,Imipenem,K. pneumoniae_resistance_2022,0.9172976016998292,% resistant strains,8.526968265012389,0.10757605437135943,-3.2165711144303097,Fourth,6,Western,16,2,3,3
Ningxia,Cefotetan,K. pneumoniae_resistance_2022,1.3967109844088554,% resistant strains,7.508128530656299,0.18602651495721884,-2.426419826935786,Fourth,6,Western,16,2,3,3
Ningxia,Polymyxin B,K. pneumoniae_resistance_2022,2.2058824077248573,% resistant strains,2.4717459132751594,0.8924389824526816,-0.16417456184895754,Fourth,6,Western,16,2,3,3
Ningxia,Levofloxacin,K. pneumoniae_resistance_2022,4.001994803547859,% resistant strains,16.191099199556536,0.24717252079200844,-2.016409733201373,Fourth,6,Western,16,2,3,3
Ningxia,Gentamicin,K. pneumoniae_resistance_2022,5.5670905858278275,% resistant strains,15.429431596590627,0.3608098296412917,-1.4706894520214169,Fourth,6,Western,16,2,3,3
Ningxia,Cefepime,K. pneumoniae_resistance_2022,4.8734888434410095,% resistant strains,18.19506344054976,0.2678467629071239,-1.900520234581387,Fourth,6,Western,16,2,3,3
Ningxia,Tigecycline,K. pneumoniae_resistance_2022,3.0372492969036102,% resistant strains,2.2550282860174775,1.3468785805199741,0.4296197994437177,Fourth,6,Western,16,2,3,3
Ningxia,Ciprofloxacin,K. pneumoniae_resistance_2022,5.190885812044144,% resistant strains,18.915998479050977,0.274417753722751,-1.8655542738022324,Fourth,6,Western,16,2,3,3
Ningxia,Aztreonam,K. pneumoniae_resistance_2022,6.557376682758331,% resistant strains,22.065489606991893,0.2971779371113748,-1.7506010826499168,Fourth,6,Western,16,2,3,3
Ningxia,Ceftazidime,K. pneumoniae_resistance_2022,6.015133857727051,% resistant strains,18.543601288430153,0.3243778683636847,-1.62425270409656,Fourth,6,Western,16,2,3,3
Ningxia,Tobramycin,K. pneumoniae_resistance_2022,2.6829268783330917,% resistant strains,11.652764104186527,0.2302395255190301,-2.1187925708204176,Fourth,6,Western,16,2,3,3
Ningxia,Cefotaxime,K. pneumoniae_resistance_2022,6.749311089515686,% resistant strains,26.77193477509483,0.2521039717978985,-1.9879092474247704,Fourth,6,Western,16,2,3,3
Ningxia,Cefoxitin,K. pneumoniae_resistance_2022,7.658730447292328,% resistant strains,15.332847376984933,0.4994982509764177,-1.0014484685454772,Fourth,6,Western,16,2,3,3
Ningxia,Ceftriaxone,K. pneumoniae_resistance_2022,9.916220605373384,% resistant strains,26.400573527620683,0.37560625700039746,-1.4127069987001035,Fourth,6,Western,16,2,3,3
Ningxia,Chloramphenicol,K. pneumoniae_resistance_2022,12.342007458209991,% resistant strains,22.07784131169319,0.5590223828483284,-0.8390220462056426,Fourth,6,Western,16,2,3,3
Ningxia,Trimethoprim/Sulfamethoxazole,K. pneumoniae_resistance_2022,13.842207193374634,% resistant strains,23.347426374112406,0.5928793594450673,-0.7541895233992891,Fourth,6,Western,16,2,3,3
Ningxia,Cefuroxime,K. pneumoniae_resistance_2022,13.423050940036774,% resistant strains,28.75340595360725,0.46683342354969914,-1.0990202385054002,Fourth,6,Western,16,2,3,3
Ningxia,Cefazolin,K. pneumoniae_resistance_2022,20.03300338983536,% resistant strains,32.596808623883035,0.6145694696982568,-0.7023519957224327,Fourth,6,Western,16,2,3,3
Ningxia,Nitrofurantoin,K. pneumoniae_resistance_2022,15.537148714065552,% resistant strains,25.528032548965946,0.6086308721309942,-0.716360580061028,Fourth,6,Western,16,2,3,3
Ningxia,Ampicillin,K. pneumoniae_resistance_2022,82.53050446510315,% resistant strains,89.12124653016367,0.926047465428686,-0.110841952823456,Fourth,6,Western,16,2,3,3
Ningxia,Amikacin,P. aeruginosa_resistance_2022,1.2814847752451897,% resistant strains,2.895089133732742,0.4426408708159274,-1.1757914277494,Fourth,6,Western,16,2,3,3
Ningxia,Polymyxin B,P. aeruginosa_resistance_2022,2.9629629105329514,% resistant strains,2.0549965909971246,1.4418334918479176,0.527904566551337,Fourth,6,Western,16,2,3,3
Ningxia,Tobramycin,P. aeruginosa_resistance_2022,2.9781602323055267,% resistant strains,5.22896388485547,0.5695507366059852,-0.8121037293552584,Fourth,6,Western,16,2,3,3
Ningxia,Gentamicin,P. aeruginosa_resistance_2022,3.9182282984256744,% resistant strains,6.862613997392116,0.5709527448162832,-0.8085567497202387,Fourth,6,Western,16,2,3,3
Ningxia,Meropenem,P. aeruginosa_resistance_2022,5.11559285223484,% resistant strains,12.388891774800516,0.4129177125140566,-1.276073789213896,Fourth,6,Western,16,2,3,3
Ningxia,Ciprofloxacin,P. aeruginosa_resistance_2022,5.978260934352875,% resistant strains,10.214268452217501,0.5852852764071423,-0.7727881085848536,Fourth,6,Western,16,2,3,3
Ningxia,Imipenem,P. aeruginosa_resistance_2022,6.607310473918915,% resistant strains,15.007560844382933,0.4402654463594539,-1.1835544741465756,Fourth,6,Western,16,2,3,3
Ningxia,Cefepime,P. aeruginosa_resistance_2022,3.90625,% resistant strains,7.7000205795611105,0.5073038389493045,-0.9790780169884495,Fourth,6,Western,16,2,3,3
Ningxia,Ceftazidime,P. aeruginosa_resistance_2022,6.545960903167725,% resistant strains,12.67496945877229,0.516447863993652,-0.9533053801712217,Fourth,6,Western,16,2,3,3
Ningxia,Piperacillin,P. aeruginosa_resistance_2022,4.314994439482689,% resistant strains,16.000354253957347,0.26968118149105774,-1.8906732418965497,Fourth,6,Western,16,2,3,3
Ningxia,Levofloxacin,P. aeruginosa_resistance_2022,7.352941483259201,% resistant strains,11.408927616092466,0.6444901511065567,-0.6337697829386,Fourth,6,Western,16,2,3,3
Ningxia,Aztreonam,P. aeruginosa_resistance_2022,11.73745170235634,% resistant strains,18.25110532583729,0.6431090880693207,-0.6368646178816836,Fourth,6,Western,16,2,3,3
Ningxia,Polymyxin B,A. baumannii_resistance_2022,2.816901355981827,% resistant strains,1.5856249312249324,1.7765243851241066,0.8290574916841484,Fourth,6,Western,16,2,3,3
Ningxia,Gentamicin,A. baumannii_resistance_2022,11.92341148853302,% resistant strains,45.57643970174174,0.2616134907983468,-1.9344911557102722,Fourth,6,Western,16,2,3,3
Ningxia,Amikacin,A. baumannii_resistance_2022,36.90922856330872,% resistant strains,36.6628956650534,1.0067188609570228,0.00966084865550376,Fourth,6,Western,16,2,3,3
Ningxia,Imipenem,A. baumannii_resistance_2022,38.03165256977081,% resistant strains,51.51571588170144,0.7382534032353375,-0.4378119929091994,Fourth,6,Western,16,2,3,3
Ningxia,Cefepime,A. baumannii_resistance_2022,34.49261486530304,% resistant strains,47.926117720142486,0.7197039214967836,-0.4745245756087098,Fourth,6,Western,16,2,3,3
