province,bacteria,antibiotic,resistant_pc
Hebei,K. pneumoniae,Nitrofurantoin,20.986832678318024
Hebei,K. pneumoniae,Ampicillin,89.43524956703186
Hebei,P. aeruginosa,Polymixin B,1.65619645267725
Hebei,P. aeruginosa,Amikacin,3.0144838616251945
Hebei,P. aeruginosa,Gentamicin,7.910371571779251
Hebei,P. aeruginosa,Tobramycin,10.671810060739515
Hebei,P. aeruginosa,Ciprofloxacin,11.293741315603256
Hebei,P. aeruginosa,Meropenem,12.892405688762665
Hebei,P. aeruginosa,Cefepime,9.126238524913788
Hebei,P. aeruginosa,Ceftazidime,13.37425857782364
Hebei,P. aeruginosa,Imipenem,14.721956849098206
Hebei,P. aeruginosa,Levofloxacin,11.779769510030746
Hebei,P. aeruginosa,Piperacillin,19.137629866600037
Hebei,P. aeruginosa,Aztreonam,18.7256783246994
Hebei,A. baumannii,Polymixin B,0.9888751432299614
Hebei,A. baumannii,Tigecycline,2.239583246409893
Hebei,A. baumannii,Minocycline,9.006761014461517
Hebei,A. baumannii,Amikacin,38.606369495391846
Hebei,A. baumannii,Tobramycin,48.252975940704346
Hebei,A. baumannii,Gentamicin,47.8702574968338
Hebei,A. baumannii,Imipenem,52.38487124443054
Hebei,A. baumannii,Levofloxacin,44.99646723270416
Hebei,A. baumannii,Cefepime,48.18236529827118
Hebei,A. baumannii,Ceftazidime,52.41203308105469
Hebei,A. baumannii,Ciprofloxacin,55.47642707824707
Hebei,A. baumannii,Meropenem,55.46371340751648
Hebei,A. baumannii,Cefotaxime,52.32290029525757
Hebei,A. baumannii,Ceftriaxone,49.62383806705475
Hebei,A. baumannii,Aztreonam,58.020639419555664
Shanxi,S. aureus,Nitrofurantoin,0.31645570416003466
Shanxi,S. aureus,Rifampicin,0.8951883763074875
Shanxi,S. aureus,Chloramphenicol,5.418994277715683
Shanxi,S. aureus,Levofloxacin,9.691358357667925
Shanxi,S. aureus,Tetracycline,9.907904267311096
Shanxi,S. aureus,Gentamicin,8.56521725654602
Shanxi,S. aureus,Ciprofloxacin,10.061773657798769
Shanxi,S. aureus,Oxacillin,16.17218852043152
Shanxi,S. aureus,Cefoxitin,19.45616453886032
Shanxi,S. aureus,Clindamycin,30.83164393901825
Shanxi,S. aureus,Erythromycin,58.59883427619934
Shanxi,S. aureus,Penicillin G,93.03656220436096
Shanxi,E. coli,Tigecycline,0.11295180302113296
Shanxi,E. coli,Meropenem,0.9421171620488168
Shanxi,E. coli,Ertapenem,1.034928858280182
Shanxi,E. coli,Imipenem,1.0405969806015491
Shanxi,E. coli,Polymixin B,1.7691286280751228
Shanxi,E. coli,Cefotetan,2.0048419013619423
Shanxi,E. coli,Nitrofurantoin,3.0140982940793037
