sample_type,matrix,province,location,antibiotic,group_of_antibiotic,mean_concentration,max_concentration,concentration_unit,sample_year,season,full_reference_name,place_in_article_data_extracted_from,reference_number,source_dataset,article_link
sediment,sediment,Guangdong,"Pearl River, site Z9",Tetracycline,tetracyclines,10.9,,ng/g dw,2015,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","N43 QA (2026-04-28): Verified from source Supporting Information Table S4 (site-year sediment concentrations; 2015-2018 Guangdong). max_concentration is not explicitly provided for these row-level entries, so it remains NA/yellow.",N43,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf",https://doi.org/10.1021/acs.est.0c08248
sediment,sediment,Guangdong,"Pearl River, site Z10",Tetracycline,tetracyclines,3.3,,ng/g dw,2015,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","N43 QA (2026-04-28): Verified from source Supporting Information Table S4 (site-year sediment concentrations; 2015-2018 Guangdong). max_concentration is not explicitly provided for these row-level entries, so it remains NA/yellow.",N43,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf",https://doi.org/10.1021/acs.est.0c08248
sediment,sediment,Guangdong,"Pearl River, site Z11",Tetracycline,tetracyclines,14.9,,ng/g dw,2015,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","N43 QA (2026-04-28): Verified from source Supporting Information Table S4 (site-year sediment concentrations; 2015-2018 Guangdong). max_concentration is not explicitly provided for these row-level entries, so it remains NA/yellow.",N43,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf",https://doi.org/10.1021/acs.est.0c08248
sediment,sediment,Guangdong,"Pearl River, site Z1",Trimethoprim,sulfonamides,506.3,,ng/g dw,2015,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","N43 QA (2026-04-28): Verified from source Supporting Information Table S4 (site-year sediment concentrations; 2015-2018 Guangdong). max_concentration is not explicitly provided for these row-level entries, so it remains NA/yellow.",N43,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf",https://doi.org/10.1021/acs.est.0c08248
sediment,sediment,Guangdong,"Pearl River, site Z2",Trimethoprim,sulfonamides,121.0,,ng/g dw,2015,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","N43 QA (2026-04-28): Verified from source Supporting Information Table S4 (site-year sediment concentrations; 2015-2018 Guangdong). max_concentration is not explicitly provided for these row-level entries, so it remains NA/yellow.",N43,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf",https://doi.org/10.1021/acs.est.0c08248
sediment,sediment,Guangdong,"Pearl River, site Z3",Trimethoprim,sulfonamides,117.3,,ng/g dw,2015,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","N43 QA (2026-04-28): Verified from source Supporting Information Table S4 (site-year sediment concentrations; 2015-2018 Guangdong). max_concentration is not explicitly provided for these row-level entries, so it remains NA/yellow.",N43,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf",https://doi.org/10.1021/acs.est.0c08248
sediment,sediment,Guangdong,"Pearl River, site Z4",Trimethoprim,sulfonamides,70.9,,ng/g dw,2015,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","N43 QA (2026-04-28): Verified from source Supporting Information Table S4 (site-year sediment concentrations; 2015-2018 Guangdong). max_concentration is not explicitly provided for these row-level entries, so it remains NA/yellow.",N43,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf",https://doi.org/10.1021/acs.est.0c08248
sediment,sediment,Guangdong,"Pearl River, site Z5",Trimethoprim,sulfonamides,39.3,,ng/g dw,2015,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","N43 QA (2026-04-28): Verified from source Supporting Information Table S4 (site-year sediment concentrations; 2015-2018 Guangdong). max_concentration is not explicitly provided for these row-level entries, so it remains NA/yellow.",N43,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf",https://doi.org/10.1021/acs.est.0c08248
sediment,sediment,Guangdong,"Pearl River, site Z6",Trimethoprim,sulfonamides,24.7,,ng/g dw,2015,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","N43 QA (2026-04-28): Verified from source Supporting Information Table S4 (site-year sediment concentrations; 2015-2018 Guangdong). max_concentration is not explicitly provided for these row-level entries, so it remains NA/yellow.",N43,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf",https://doi.org/10.1021/acs.est.0c08248
sediment,sediment,Guangdong,"Pearl River, site Z7",Trimethoprim,sulfonamides,46.0,,ng/g dw,2015,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","N43 QA (2026-04-28): Verified from source Supporting Information Table S4 (site-year sediment concentrations; 2015-2018 Guangdong). max_concentration is not explicitly provided for these row-level entries, so it remains NA/yellow.",N43,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf",https://doi.org/10.1021/acs.est.0c08248
sediment,sediment,Guangdong,"Pearl River, site Z8",Trimethoprim,sulfonamides,43.2,,ng/g dw,2015,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","N43 QA (2026-04-28): Verified from source Supporting Information Table S4 (site-year sediment concentrations; 2015-2018 Guangdong). max_concentration is not explicitly provided for these row-level entries, so it remains NA/yellow.",N43,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf",https://doi.org/10.1021/acs.est.0c08248
sediment,sediment,Guangdong,"Pearl River, site Z9",Trimethoprim,sulfonamides,38.2,,ng/g dw,2015,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","N43 QA (2026-04-28): Verified from source Supporting Information Table S4 (site-year sediment concentrations; 2015-2018 Guangdong). max_concentration is not explicitly provided for these row-level entries, so it remains NA/yellow.",N43,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf",https://doi.org/10.1021/acs.est.0c08248
sediment,sediment,Guangdong,"Pearl River, site Z10",Trimethoprim,sulfonamides,31.8,,ng/g dw,2015,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","N43 QA (2026-04-28): Verified from source Supporting Information Table S4 (site-year sediment concentrations; 2015-2018 Guangdong). max_concentration is not explicitly provided for these row-level entries, so it remains NA/yellow.",N43,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf",https://doi.org/10.1021/acs.est.0c08248
sediment,sediment,Guangdong,"Pearl River, site Z11",Trimethoprim,sulfonamides,10.4,,ng/g dw,2015,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","N43 QA (2026-04-28): Verified from source Supporting Information Table S4 (site-year sediment concentrations; 2015-2018 Guangdong). max_concentration is not explicitly provided for these row-level entries, so it remains NA/yellow.",N43,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf",https://doi.org/10.1021/acs.est.0c08248
sediment,sediment,Guangdong,"Pearl River, site Z1",Ciprofloxacin,fluoroquinolones,380.8,,ng/g dw,2016,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","N43 QA (2026-04-28): Verified from source Supporting Information Table S4 (site-year sediment concentrations; 2015-2018 Guangdong). max_concentration is not explicitly provided for these row-level entries, so it remains NA/yellow.",N43,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf",https://doi.org/10.1021/acs.est.0c08248
sediment,sediment,Guangdong,"Pearl River, site Z2",Ciprofloxacin,fluoroquinolones,210.3,,ng/g dw,2016,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","N43 QA (2026-04-28): Verified from source Supporting Information Table S4 (site-year sediment concentrations; 2015-2018 Guangdong). max_concentration is not explicitly provided for these row-level entries, so it remains NA/yellow.",N43,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf",https://doi.org/10.1021/acs.est.0c08248
sediment,sediment,Guangdong,"Pearl River, site Z3",Ciprofloxacin,fluoroquinolones,100.6,,ng/g dw,2016,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","N43 QA (2026-04-28): Verified from source Supporting Information Table S4 (site-year sediment concentrations; 2015-2018 Guangdong). max_concentration is not explicitly provided for these row-level entries, so it remains NA/yellow.",N43,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf",https://doi.org/10.1021/acs.est.0c08248
sediment,sediment,Guangdong,"Pearl River, site Z4",Ciprofloxacin,fluoroquinolones,57.0,,ng/g dw,2016,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","N43 QA (2026-04-28): Verified from source Supporting Information Table S4 (site-year sediment concentrations; 2015-2018 Guangdong). max_concentration is not explicitly provided for these row-level entries, so it remains NA/yellow.",N43,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf",https://doi.org/10.1021/acs.est.0c08248
sediment,sediment,Guangdong,"Pearl River, site Z5",Ciprofloxacin,fluoroquinolones,21.2,,ng/g dw,2016,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","N43 QA (2026-04-28): Verified from source Supporting Information Table S4 (site-year sediment concentrations; 2015-2018 Guangdong). max_concentration is not explicitly provided for these row-level entries, so it remains NA/yellow.",N43,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf",https://doi.org/10.1021/acs.est.0c08248
sediment,sediment,Guangdong,"Pearl River, site Z6",Ciprofloxacin,fluoroquinolones,20.2,,ng/g dw,2016,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","N43 QA (2026-04-28): Verified from source Supporting Information Table S4 (site-year sediment concentrations; 2015-2018 Guangdong). max_concentration is not explicitly provided for these row-level entries, so it remains NA/yellow.",N43,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf",https://doi.org/10.1021/acs.est.0c08248
sediment,sediment,Guangdong,"Pearl River, site Z7",Ciprofloxacin,fluoroquinolones,24.3,,ng/g dw,2016,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","N43 QA (2026-04-28): Verified from source Supporting Information Table S4 (site-year sediment concentrations; 2015-2018 Guangdong). max_concentration is not explicitly provided for these row-level entries, so it remains NA/yellow.",N43,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf",https://doi.org/10.1021/acs.est.0c08248
sediment,sediment,Guangdong,"Pearl River, site Z8",Ciprofloxacin,fluoroquinolones,23.6,,ng/g dw,2016,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","N43 QA (2026-04-28): Verified from source Supporting Information Table S4 (site-year sediment concentrations; 2015-2018 Guangdong). max_concentration is not explicitly provided for these row-level entries, so it remains NA/yellow.",N43,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf",https://doi.org/10.1021/acs.est.0c08248
sediment,sediment,Guangdong,"Pearl River, site Z9",Ciprofloxacin,fluoroquinolones,7.4,,ng/g dw,2016,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","N43 QA (2026-04-28): Verified from source Supporting Information Table S4 (site-year sediment concentrations; 2015-2018 Guangdong). max_concentration is not explicitly provided for these row-level entries, so it remains NA/yellow.",N43,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf",https://doi.org/10.1021/acs.est.0c08248
sediment,sediment,Guangdong,"Pearl River, site Z10",Ciprofloxacin,fluoroquinolones,7.6,,ng/g dw,2016,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","N43 QA (2026-04-28): Verified from source Supporting Information Table S4 (site-year sediment concentrations; 2015-2018 Guangdong). max_concentration is not explicitly provided for these row-level entries, so it remains NA/yellow.",N43,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf",https://doi.org/10.1021/acs.est.0c08248
sediment,sediment,Guangdong,"Pearl River, site Z11",Ciprofloxacin,fluoroquinolones,7.3,,ng/g dw,2016,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","N43 QA (2026-04-28): Verified from source Supporting Information Table S4 (site-year sediment concentrations; 2015-2018 Guangdong). max_concentration is not explicitly provided for these row-level entries, so it remains NA/yellow.",N43,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf",https://doi.org/10.1021/acs.est.0c08248
sediment,sediment,Guangdong,"Pearl River, site Z1",Erythromycin,macrolides,350.4,,ng/g dw,2016,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","N43 QA (2026-04-28): Verified from source Supporting Information Table S4 (site-year sediment concentrations; 2015-2018 Guangdong). max_concentration is not explicitly provided for these row-level entries, so it remains NA/yellow.",N43,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf",https://doi.org/10.1021/acs.est.0c08248
sediment,sediment,Guangdong,"Pearl River, site Z2",Erythromycin,macrolides,128.6,,ng/g dw,2016,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","N43 QA (2026-04-28): Verified from source Supporting Information Table S4 (site-year sediment concentrations; 2015-2018 Guangdong). max_concentration is not explicitly provided for these row-level entries, so it remains NA/yellow.",N43,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf",https://doi.org/10.1021/acs.est.0c08248
sediment,sediment,Guangdong,"Pearl River, site Z3",Erythromycin,macrolides,112.6,,ng/g dw,2016,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","N43 QA (2026-04-28): Verified from source Supporting Information Table S4 (site-year sediment concentrations; 2015-2018 Guangdong). max_concentration is not explicitly provided for these row-level entries, so it remains NA/yellow.",N43,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf",https://doi.org/10.1021/acs.est.0c08248
sediment,sediment,Guangdong,"Pearl River, site Z4",Erythromycin,macrolides,81.4,,ng/g dw,2016,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","N43 QA (2026-04-28): Verified from source Supporting Information Table S4 (site-year sediment concentrations; 2015-2018 Guangdong). max_concentration is not explicitly provided for these row-level entries, so it remains NA/yellow.",N43,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf",https://doi.org/10.1021/acs.est.0c08248
sediment,sediment,Guangdong,"Pearl River, site Z5",Erythromycin,macrolides,26.2,,ng/g dw,2016,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","N43 QA (2026-04-28): Verified from source Supporting Information Table S4 (site-year sediment concentrations; 2015-2018 Guangdong). max_concentration is not explicitly provided for these row-level entries, so it remains NA/yellow.",N43,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf",https://doi.org/10.1021/acs.est.0c08248
sediment,sediment,Guangdong,"Pearl River, site Z6",Erythromycin,macrolides,33.9,,ng/g dw,2016,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","N43 QA (2026-04-28): Verified from source Supporting Information Table S4 (site-year sediment concentrations; 2015-2018 Guangdong). max_concentration is not explicitly provided for these row-level entries, so it remains NA/yellow.",N43,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf",https://doi.org/10.1021/acs.est.0c08248
sediment,sediment,Guangdong,"Pearl River, site Z7",Erythromycin,macrolides,101.8,,ng/g dw,2016,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","N43 QA (2026-04-28): Verified from source Supporting Information Table S4 (site-year sediment concentrations; 2015-2018 Guangdong). max_concentration is not explicitly provided for these row-level entries, so it remains NA/yellow.",N43,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf",https://doi.org/10.1021/acs.est.0c08248
sediment,sediment,Guangdong,"Pearl River, site Z8",Erythromycin,macrolides,66.1,,ng/g dw,2016,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","N43 QA (2026-04-28): Verified from source Supporting Information Table S4 (site-year sediment concentrations; 2015-2018 Guangdong). max_concentration is not explicitly provided for these row-level entries, so it remains NA/yellow.",N43,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf",https://doi.org/10.1021/acs.est.0c08248
sediment,sediment,Guangdong,"Pearl River, site Z9",Erythromycin,macrolides,95.0,,ng/g dw,2016,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","N43 QA (2026-04-28): Verified from source Supporting Information Table S4 (site-year sediment concentrations; 2015-2018 Guangdong). max_concentration is not explicitly provided for these row-level entries, so it remains NA/yellow.",N43,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf",https://doi.org/10.1021/acs.est.0c08248
sediment,sediment,Guangdong,"Pearl River, site Z10",Erythromycin,macrolides,53.4,,ng/g dw,2016,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","N43 QA (2026-04-28): Verified from source Supporting Information Table S4 (site-year sediment concentrations; 2015-2018 Guangdong). max_concentration is not explicitly provided for these row-level entries, so it remains NA/yellow.",N43,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf",https://doi.org/10.1021/acs.est.0c08248
