sample_type,antibiotic,group_of_antibiotic,records,provinces,median_conc,p90_conc,max_conc,prevalence_score
sediment,Chlorotetracycline,tetracyclines,6,6,11.2,11.2,11.2,0.305822936897459
sediment,Sulfamethoxypyridazine,sulfonamides,8,5,1.15,3.9359999999999995,5.56,0.2622072499598583
sediment,Cefalexin,beta-lactams,6,4,9.365,12.6,12.6,0.19274634222681164
sediment,Sulfabenzamide,sulfonamides,12,2,0.135,0.29,0.37,0.18534820974291377
sediment,Penicillin G,beta-lactams,7,3,4.8,4.896,4.98,0.14988851979631596
sediment,Sulfadoxine,sulfonamides,7,4,0.05,0.06200000000000001,0.08,0.10181288747922385
sediment,Vancomycin,other,6,4,1.4,2.545,3.69,0.0936680040426935
sediment,Spiramycin,macrolides,9,2,0.04795,2.5800000000000005,4.9,0.05393837729987033
sediment,Difloxacin,fluoroquinolones,6,3,2.2399999999999998,5.2,5.4,0.04632260283369101
sediment,Methacycline,tetracyclines,5,4,0.6941,3.342,3.41,-0.00395545350524229
sediment,Amoxicillin,beta-lactams,5,3,3.08,11.62,11.62,-0.012099273002339064
sediment,Sulfamonomethoxine,macrolides,4,2,45.905,61.9,61.9,-0.02151976313680834
sediment,Ciprofloxacin,sulfonamides,5,4,0.3,0.9660000000000001,1.41,-0.0218879903078098
sediment,Isochlortetracycline,tetracyclines,7,2,0.02,2.23,2.23,-0.05506155552909582
sediment,Sulfadimidine,sulfonamides,3,3,18.42291666666665,32.83124999999997,36.4333333333333,-0.10115789873170913
sediment,Anhydroerythromycin,macrolides,4,3,2.195,14.098500000000001,19.2,-0.11622208417725396
sediment,Acetylspiramycin,macrolides,3,1,232.263157894737,2182.0736842105234,2669.52631578947,-0.14301621522596417
sediment,Minocycline,other,3,1,194.789473684211,2132.600000000002,2617.05263157895,-0.15487658647643324
sediment,Enoxacin,fluoroquinolones,4,3,0.6744249999999999,1610.3570000000004,2300.0,-0.15997991896067754
sediment,Rifampicin,other,3,1,178.631578947368,3314.336842105266,4098.26315789474,-0.16070981514494273
sediment,Sulfadimethoxypyrimidine,sulfonamides,4,2,0.08520833333333334,0.5681250000000001,0.75,-0.27659330865817777
sediment,Erythromycin-H2O,beta-lactams,3,2,3.0,3.0,3.0,-0.2954145783919616
sediment,Cephalexin,beta-lactams,3,2,2.15,10.51,12.6,-0.3115933639141
sediment,Sulfaphenazole,sulfonamides,5,1,0.0,0.08400000000000002,0.14,-0.3175277095518614
sediment,Moxifloxacin,fluoroquinolones,1,1,1800.0,1800.0,1800.0,-0.33749020416276565
sediment,Azithromycin,tetracyclines,3,1,12.07,12.07,12.07,-0.33818731386577394
sediment,Enrythromycin,macrolides,3,1,11.0,22.28,25.1,-0.3439718406062119
sediment,Nalidixic acid,fluoroquinolones,1,1,1400.0,1400.0,1400.0,-0.35449955299870084
sediment,Demeclocycline,tetracyclines,3,2,0.215,0.5106,0.5845,-0.3761114786243084
