sample_type,province,location,antibiotic,group_of_antibiotic,mean_concentration,max_concentration,concentration_unit,sample_year,season,full_reference_name,place_in_article_data_extracted_from,reference_number,source_dataset
municipal sludge,Beijing,Beijing,Lomefloxacin,fluoroquinolones,75.3,316.1,µg/kg dw,2015.0,spring,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2018).",Zhang 2022 supplementary dataset (Sheet7 record),121,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Norfloxacin,fluoroquinolones,2003.7,3677.2,µg/kg dw,2015.0,spring,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2018).",Zhang 2022 supplementary dataset (Sheet7 record),121,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Ofloxacin,fluoroquinolones,3150,8800.5,µg/kg dw,2015.0,spring,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2018).",Zhang 2022 supplementary dataset (Sheet7 record),121,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Oxytetracycline,tetracyclines,387.8,5115.9,µg/kg dw,2015.0,spring,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2018).",Zhang 2022 supplementary dataset (Sheet7 record),121,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Roxithromycin,macrolides,13.4,110,µg/kg dw,2015.0,spring,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2018).",Zhang 2022 supplementary dataset (Sheet7 record),121,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Sulfadiazine,sulfonamides,3.4,12,µg/kg dw,2015.0,spring,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2018).",Zhang 2022 supplementary dataset (Sheet7 record),121,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Sulfadimethoxine,sulfonamides,4.9,12.9,µg/kg dw,2015.0,spring,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2018).",Zhang 2022 supplementary dataset (Sheet7 record),121,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Sulfamerazine,sulfonamides,15.3,68.8,µg/kg dw,2015.0,spring,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2018).",Zhang 2022 supplementary dataset (Sheet7 record),121,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Sulfamethazine,sulfonamides,0.8,122.7,µg/kg dw,2015.0,spring,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2018).",Zhang 2022 supplementary dataset (Sheet7 record),121,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Sulfamethoxazole,sulfonamides,4.2,16.4,µg/kg dw,2015.0,spring,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2018).",Zhang 2022 supplementary dataset (Sheet7 record),121,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Sulfathiazole,sulfonamides,7.1,12.8,µg/kg dw,2015.0,spring,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2018).",Zhang 2022 supplementary dataset (Sheet7 record),121,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Tetracycline,tetracyclines,57.4,1038.4,µg/kg dw,2015.0,spring,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2018).",Zhang 2022 supplementary dataset (Sheet7 record),121,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Trimethoprim,sulfonamides,18,31.5,µg/kg dw,2015.0,spring,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2018).",Zhang 2022 supplementary dataset (Sheet7 record),121,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Anhydro-erythromycin,macrolides,3.3,NA,µg/kg dw,NA,NA,"Yuan, X., Qiang, Z., Ben, W., Zhu, B. & Liu, J. Rapid detection of multiple class pharmaceuticals in both municipal wastewater and sludge with ultra high performance liquid chromatography tandem mass spectrometry. Journal of Environmental Sciences 26, 1949-1959, doi:10.1016/j.jes.2014.06.022 (2014).",Zhang 2022 supplementary dataset (Sheet7 record),218,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Chlortetracycline,tetracyclines,15.53,NA,µg/kg dw,NA,NA,"Yuan, X., Qiang, Z., Ben, W., Zhu, B. & Liu, J. Rapid detection of multiple class pharmaceuticals in both municipal wastewater and sludge with ultra high performance liquid chromatography tandem mass spectrometry. Journal of Environmental Sciences 26, 1949-1959, doi:10.1016/j.jes.2014.06.022 (2014).",Zhang 2022 supplementary dataset (Sheet7 record),218,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Ciprofloxacin,fluoroquinolones,230.93,NA,µg/kg dw,NA,NA,"Yuan, X., Qiang, Z., Ben, W., Zhu, B. & Liu, J. Rapid detection of multiple class pharmaceuticals in both municipal wastewater and sludge with ultra high performance liquid chromatography tandem mass spectrometry. Journal of Environmental Sciences 26, 1949-1959, doi:10.1016/j.jes.2014.06.022 (2014).",Zhang 2022 supplementary dataset (Sheet7 record),218,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Norfloxacin,fluoroquinolones,1967.71,NA,µg/kg dw,NA,NA,"Yuan, X., Qiang, Z., Ben, W., Zhu, B. & Liu, J. Rapid detection of multiple class pharmaceuticals in both municipal wastewater and sludge with ultra high performance liquid chromatography tandem mass spectrometry. Journal of Environmental Sciences 26, 1949-1959, doi:10.1016/j.jes.2014.06.022 (2014).",Zhang 2022 supplementary dataset (Sheet7 record),218,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Ofloxacin,fluoroquinolones,6029.07,NA,µg/kg dw,NA,NA,"Yuan, X., Qiang, Z., Ben, W., Zhu, B. & Liu, J. Rapid detection of multiple class pharmaceuticals in both municipal wastewater and sludge with ultra high performance liquid chromatography tandem mass spectrometry. Journal of Environmental Sciences 26, 1949-1959, doi:10.1016/j.jes.2014.06.022 (2014).",Zhang 2022 supplementary dataset (Sheet7 record),218,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Oxytetracycline,tetracyclines,751.71,NA,µg/kg dw,NA,NA,"Yuan, X., Qiang, Z., Ben, W., Zhu, B. & Liu, J. Rapid detection of multiple class pharmaceuticals in both municipal wastewater and sludge with ultra high performance liquid chromatography tandem mass spectrometry. Journal of Environmental Sciences 26, 1949-1959, doi:10.1016/j.jes.2014.06.022 (2014).",Zhang 2022 supplementary dataset (Sheet7 record),218,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Sulfadiazine,sulfonamides,3.74,NA,µg/kg dw,NA,NA,"Yuan, X., Qiang, Z., Ben, W., Zhu, B. & Liu, J. Rapid detection of multiple class pharmaceuticals in both municipal wastewater and sludge with ultra high performance liquid chromatography tandem mass spectrometry. Journal of Environmental Sciences 26, 1949-1959, doi:10.1016/j.jes.2014.06.022 (2014).",Zhang 2022 supplementary dataset (Sheet7 record),218,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Sulfadimethoxine,sulfonamides,1.02,NA,µg/kg dw,NA,NA,"Yuan, X., Qiang, Z., Ben, W., Zhu, B. & Liu, J. Rapid detection of multiple class pharmaceuticals in both municipal wastewater and sludge with ultra high performance liquid chromatography tandem mass spectrometry. Journal of Environmental Sciences 26, 1949-1959, doi:10.1016/j.jes.2014.06.022 (2014).",Zhang 2022 supplementary dataset (Sheet7 record),218,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Sulfamerazine,sulfonamides,15.3,NA,µg/kg dw,NA,NA,"Yuan, X., Qiang, Z., Ben, W., Zhu, B. & Liu, J. Rapid detection of multiple class pharmaceuticals in both municipal wastewater and sludge with ultra high performance liquid chromatography tandem mass spectrometry. Journal of Environmental Sciences 26, 1949-1959, doi:10.1016/j.jes.2014.06.022 (2014).",Zhang 2022 supplementary dataset (Sheet7 record),218,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Sulfamethazine,sulfonamides,0.43,NA,µg/kg dw,NA,NA,"Yuan, X., Qiang, Z., Ben, W., Zhu, B. & Liu, J. Rapid detection of multiple class pharmaceuticals in both municipal wastewater and sludge with ultra high performance liquid chromatography tandem mass spectrometry. Journal of Environmental Sciences 26, 1949-1959, doi:10.1016/j.jes.2014.06.022 (2014).",Zhang 2022 supplementary dataset (Sheet7 record),218,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Sulfamethizole,sulfonamides,0.06,NA,µg/kg dw,NA,NA,"Yuan, X., Qiang, Z., Ben, W., Zhu, B. & Liu, J. Rapid detection of multiple class pharmaceuticals in both municipal wastewater and sludge with ultra high performance liquid chromatography tandem mass spectrometry. Journal of Environmental Sciences 26, 1949-1959, doi:10.1016/j.jes.2014.06.022 (2014).",Zhang 2022 supplementary dataset (Sheet7 record),218,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Sulfamethoxazole,sulfonamides,10.74,NA,µg/kg dw,NA,NA,"Yuan, X., Qiang, Z., Ben, W., Zhu, B. & Liu, J. Rapid detection of multiple class pharmaceuticals in both municipal wastewater and sludge with ultra high performance liquid chromatography tandem mass spectrometry. Journal of Environmental Sciences 26, 1949-1959, doi:10.1016/j.jes.2014.06.022 (2014).",Zhang 2022 supplementary dataset (Sheet7 record),218,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Sulfathiazole,sulfonamides,0.97,NA,µg/kg dw,NA,NA,"Yuan, X., Qiang, Z., Ben, W., Zhu, B. & Liu, J. Rapid detection of multiple class pharmaceuticals in both municipal wastewater and sludge with ultra high performance liquid chromatography tandem mass spectrometry. Journal of Environmental Sciences 26, 1949-1959, doi:10.1016/j.jes.2014.06.022 (2014).",Zhang 2022 supplementary dataset (Sheet7 record),218,Data_on_Antibiotics_in_China__07_Sheet7.csv
