province,group_of_antibiotic,matrix,n_rows,n_rows_mean_based,n_rows_max_based,median_log10_primary_concentration,median_log10_mean_concentration,median_log10_max_concentration,median_primary_concentration_raw,concentration_unit_mode,sample_year_min,sample_year_max
Shanxi,tetracyclines,sludge,5,5,5,7.133538908370218,7.133538908370218,8.441852175773292,13600000.0,ng/g dw,2015.0,2015.0
Shanxi,tetracyclines,soil,9,9,4,5.919078092376074,5.919078092376074,5.74286071324079,830000.0,ng/g dw,2017.0,2017.0
Shanxi,tetracyclines,surface water,5,5,3,1.6699673699085043,1.6699673699085043,2.177824971864682,46.77,ng/L,2021.0,2022.0
Sichuan,amphenicols,surface water,1,1,1,1.4061994236633129,1.4061994236633129,2.7615219065192917,25.48,ng/L,2021.0,2021.0
Sichuan,beta-lactams,surface water,5,5,5,0.6627578316815741,0.6627578316815741,1.3543005623453597,4.6,ng/L,2021.0,2021.0
Sichuan,fluoroquinolones,soil,19,19,19,0.7759743311293691,0.7759743311293691,2.146128035678238,5.97,ng/g dw,2016.0,2023.0
Sichuan,fluoroquinolones,surface water,10,10,10,-1.472277461957801,-1.472277461957801,-0.7624405544361665,0.033765,ng/L,2021.0,2023.0
Sichuan,fluoroquinolones,wastewater effluent,1,0,1,3.0599040558844055,,3.0599040558844055,1147.9,ng/L,2020.0,2020.0
Sichuan,fluoroquinolones,wastewater influent,1,0,1,3.4676672898957857,,3.4676672898957857,2935.4,ng/L,2020.0,2020.0
Sichuan,macrolides,soil,10,10,8,1.0546130545568877,1.0546130545568877,4.155111223803881,11.34,ng/g dw,2016.0,2016.0
Sichuan,macrolides,surface water,1,1,1,0.6551384348113821,0.6551384348113821,2.113073893594208,4.52,ng/L,2021.0,2021.0
Sichuan,macrolides,wastewater influent,1,1,0,2.0099605314705973,2.0099605314705973,,102.32,ng/L,2020.0,2020.0
Sichuan,multiple classes,wastewater effluent,1,1,1,2.3839230289521605,2.3839230289521605,2.759720712104259,242.06,ng/L,2020.0,2020.0
Sichuan,multiple classes,wastewater influent,1,1,1,2.568987438034732,2.568987438034732,3.0864808467010416,370.67,ng/L,2020.0,2020.0
Sichuan,other,soil,3,3,3,4.778151250383644,4.778151250383644,5.857332496431268,60000.0,ng/g dw,2016.0,2016.0
Sichuan,sulfonamides,soil,15,15,15,5.041392685158225,5.041392685158225,6.250420002308894,110000.0,ng/g dw,2016.0,2016.0
Sichuan,sulfonamides,surface water,7,7,7,-2.3160528692484967,-2.3160528692484967,-1.1850868187249262,0.0048299999999999,ng/L,2021.0,2023.0
Sichuan,tetracyclines,soil,17,17,17,1.5693739096150459,1.5693739096150459,2.6180480967120925,37.1,ng/g dw,2016.0,2023.0
Sichuan,tetracyclines,surface water,8,8,8,-1.3773053644143947,-1.3773053644143947,-0.25021253939666177,1.0354249999999998,ng/L,2020.0,2023.0
Tianjin,fluoroquinolones,sediment,82,82,8,7.624282095835668,7.624282095835668,7.159004522379657,42100000.0,ng/g dw,2008.0,2017.0
Tianjin,fluoroquinolones,sludge,3,3,0,9.254197503264237,9.254197503264237,,1795550000.0,ng/g dw,,
Tianjin,fluoroquinolones,soil,47,47,6,1.6095944092252201,1.6095944092252201,7.631948165302305,40.7,ng/g dw,2007.0,2014.0
Tianjin,macrolides,sediment,41,40,8,7.04223809103758,7.067442842776381,6.584690247655974,11040000.0,ng/g dw,2008.0,2022.0
Tianjin,macrolides,sludge,3,3,0,7.474944335465388,7.474944335465388,,29850000.0,ng/g dw,,
Tianjin,macrolides,soil,22,22,0,1.0957813937958631,1.0957813937958631,,12.5,ng/g dw,2013.0,2014.0
Tianjin,multiple classes,surface water,1,0,1,1.089905111439398,,1.089905111439398,12.3,ng/L,2022.0,2022.0
Tianjin,other,sediment,12,12,0,8.217051239416273,8.217051239416273,,165368421.0526315,ng/g dw,2008.0,2011.0
Tianjin,other,soil,17,17,2,1.3159703454569178,1.3159703454569178,6.554789273452194,20.7,ng/g dw,2007.0,2014.0
Tianjin,sulfonamides,sediment,89,89,11,6.508725364755268,6.508725364755268,5.6020599913279625,3235000.0,ng/g dw,2008.0,2017.0
Tianjin,sulfonamides,sludge,2,2,0,6.709150645659873,6.709150645659873,,7550000.0,ng/g dw,,
Tianjin,sulfonamides,soil,70,70,10,1.4533156477664002,1.4533156477664002,6.588045629527841,28.4,ng/g dw,2007.0,2014.0
Tianjin,tetracyclines,sediment,32,32,17,7.184843044218182,7.184843044218182,7.282848602834645,15672500.0,ng/g dw,2008.0,2017.0
Tianjin,tetracyclines,sludge,3,3,0,8.200166246363107,8.200166246363107,,158550000.0,ng/g dw,,
Tianjin,tetracyclines,soil,89,89,7,2.246498580795801,2.246498580795801,7.662757831681574,176.4,ng/g dw,2007.0,2014.0
Tianjin,tetracyclines,wastewater effluent,2,2,2,6.255908270651545,6.255908270651545,6.460061663145362,2160000.0,ng/L,2019.0,2019.0
Tianjin,tetracyclines,wastewater influent,2,2,2,7.1266690026630535,7.1266690026630535,7.219547870650874,15200000.0,ng/L,2019.0,2019.0
Tibet,fluoroquinolones,surface water,1,1,1,1.255272505103306,1.255272505103306,1.255272505103306,18.0,ng/L,2023.0,2023.0
Tibet,tetracyclines,surface water,1,1,1,5.22737758792837,5.22737758792837,5.693726948923647,168802.0,ng/L,2023.0,2023.0
Xinjiang,beta-lactams,sludge,1,1,1,6.243038048686294,6.243038048686294,6.270212854896243,1750000.0,ng/g,2024.0,2024.0
Xinjiang,fluoroquinolones,sediment,3,3,3,7.7501225267834,7.7501225267834,7.973589623427257,56250000.0,ng/g dw,2012.0,2012.0
Xinjiang,fluoroquinolones,wastewater effluent,1,1,0,2.520483532740792,2.520483532740792,,331.5,ng/L,2025.0,2025.0
Xinjiang,fluoroquinolones,wastewater influent,2,2,0,2.3396224364436757,2.3396224364436757,,286.85,ng/L,2025.0,2025.0
Xinjiang,macrolides,sludge,6,6,6,5.416918065152419,5.416918065152419,5.629438314686066,267120.0,ng/g,2019.0,2024.0
Xinjiang,macrolides,soil,1,1,1,2.656098202012832,2.656098202012832,2.9190780923760737,453.0,ng/g,2022.0,2022.0
Xinjiang,macrolides,wastewater effluent,3,3,1,1.954242509439325,1.954242509439325,6.477121254719663,90.0,ng/L,2023.0,2025.0
Xinjiang,macrolides,wastewater influent,2,1,2,5.384568492527679,8.244740862951517,5.565388743607224,87843917.25,ng/L,2023.0,2025.0
Xinjiang,multiple classes,sludge,1,1,0,-0.09691001300805639,-0.09691001300805639,,0.8,ng/g dw,2025.0,2025.0
Xinjiang,multiple classes,wastewater influent,1,0,1,3.182300499593339,,3.182300499593339,1521.6,ng/L,2025.0,2025.0
Xinjiang,other,sediment,1,1,1,5.799340549453582,5.799340549453582,6.096910013008056,630000.0,ng/g dw,2012.0,2012.0
Xinjiang,sulfonamides,sediment,1,1,1,6.348304863048161,6.348304863048161,6.649334858712142,2230000.0,ng/g dw,2012.0,2012.0
Xinjiang,sulfonamides,wastewater influent,1,0,0,,,,,ng/L,2025.0,2025.0
Xinjiang,tetracyclines,sediment,4,4,4,6.946860080488609,6.946860080488609,7.151934831752456,9050000.0,ng/g dw,2012.0,2012.0
Yunnan,fluoroquinolones,soil,10,10,2,2.8551997330584005,2.8551997330584005,3.7101173651118167,46669.41666666665,ng/g dw,2012.0,2020.0
Yunnan,macrolides,soil,2,2,0,3.0413926851582254,3.0413926851582254,,550000.55,ng/g dw,2012.0,2012.0
Yunnan,other,soil,2,2,2,2.414973347970818,2.414973347970818,3.6095944092252203,130000.13,ng/g dw,2020.0,2020.0
Yunnan,sulfonamides,soil,8,8,4,1.4119543704721595,1.4119543704721595,2.530726239543597,3333.383333333335,ng/g dw,2012.0,2020.0
Yunnan,sulfonamides,wastewater influent,1,1,0,3.225309281725863,3.225309281725863,,1680.0,ng/L,2023.0,2023.0
Yunnan,tetracyclines,soil,18,18,9,1.1408007219128278,1.1408007219128278,2.887943461248532,13.900000000000002,ng/g dw,2012.0,2020.0
Zhejiang,amphenicols,surface water,3,0,3,1.5104109480101768,,1.5104109480101768,32.39,ng/L,2024.0,2024.0
Zhejiang,beta-lactams,soil,1,1,0,5.7655621230756235,5.7655621230756235,,582857.142857143,ng/g dw,2010.0,2010.0
Zhejiang,fluoroquinolones,sediment,30,30,19,6.396278134963859,6.396278134963859,6.729974285699556,2497500.0,ng/g dw,2009.0,2019.0
Zhejiang,fluoroquinolones,sludge,1,1,1,2.183696808634681,2.183696808634681,2.75859399963138,152.65,ng/g dw,2016.0,2016.0
Zhejiang,fluoroquinolones,soil,46,46,32,5.877179307625697,5.877179307625697,6.872439735685514,753666.6666666666,ng/g dw,2010.0,2017.0
Zhejiang,fluoroquinolones,surface water,3,1,2,1.2884728005997825,0.9030899869919435,1.40004441058446,19.43,ng/L,2023.0,2024.0
Zhejiang,fluoroquinolones,wastewater effluent,2,2,0,1.3562667793078753,1.3562667793078753,,23.045,ng/L,2021.0,2021.0
Zhejiang,fluoroquinolones,wastewater influent,1,1,1,1.2304489213782739,1.2304489213782739,1.2304489213782739,17.0,ng/L,2024.0,2024.0
Zhejiang,macrolides,sediment,12,12,6,5.693694913169365,5.693694913169365,6.338712218850624,505000.0,ng/g dw,2018.0,2019.0
Zhejiang,macrolides,soil,20,20,15,4.877174167855509,4.877174167855509,5.431363764158987,75500.0,ng/g dw,2010.0,2017.0
Zhejiang,macrolides,wastewater effluent,2,2,0,0.755513645873175,0.755513645873175,,6.305,ng/L,2021.0,2021.0
Zhejiang,macrolides,wastewater influent,1,1,1,1.5711262770843117,1.5711262770843117,1.7015679850559273,37.25,ng/L,2024.0,2024.0
Zhejiang,multiple classes,sediment,1,0,1,3.0679259496815217,,3.0679259496815217,1169.3,ng/g dw,2023.0,2023.0
Zhejiang,multiple classes,surface water,1,1,1,1.1958996524092338,1.1958996524092338,1.9647309210536295,15.7,ng/L,2023.0,2023.0
Zhejiang,other,sediment,12,12,10,5.238560627359831,5.238560627359831,5.946880881028972,200000.0,ng/g dw,2016.0,2019.0
Zhejiang,other,soil,2,2,0,2.85862106867818,2.85862106867818,,390000.3342855,ng/g dw,2010.0,2010.0
Zhejiang,sulfonamides,sediment,32,32,21,5.378698014396512,5.378698014396512,6.225309281725863,240000.0,ng/g dw,2009.0,2019.0
Zhejiang,sulfonamides,sludge,2,2,0,7.596584569547073,7.596584569547073,,39500000.0,ng/g dw,2012.0,2012.0
Zhejiang,sulfonamides,soil,31,31,20,4.311495429342147,4.311495429342147,5.3661968799114845,20487.8048780488,ng/g dw,2010.0,2017.0
Zhejiang,sulfonamides,surface water,7,1,6,1.3215984304653439,0.3979400086720376,2.1177061414245304,20.97,ng/L,2016.0,2024.0
Zhejiang,sulfonamides,wastewater influent,1,1,1,2.2704459080179626,2.2704459080179626,2.5644293269979834,186.4,ng/L,2024.0,2024.0
Zhejiang,tetracyclines,sediment,39,39,26,5.987370952250475,5.987370952250475,6.534619384635497,980000.0,ng/g dw,2009.0,2019.0
