province,chemical_fertilizers_2024,freshwater_aquatic_products_2024,grp_2024,grp_per_capita_2024,hogs_year_end_2024,hospital_beds_2024,hospitals_count_2024,large_animals_year_end_2024,milk_output_2024,population_2024,pork_output_2024,sewage_disposal_capacity_2024,sewage_pipe_length_2024,total_aquatic_products_2024,urban_env_infra_investment_2024,urban_share_2024,log1p__chemical_fertilizers_2024,rankpct__chemical_fertilizers_2024,log1p__freshwater_aquatic_products_2024,rankpct__freshwater_aquatic_products_2024,log1p__grp_2024,rankpct__grp_2024,log1p__grp_per_capita_2024,rankpct__grp_per_capita_2024,log1p__hogs_year_end_2024,rankpct__hogs_year_end_2024,log1p__hospital_beds_2024,rankpct__hospital_beds_2024,log1p__hospitals_count_2024,rankpct__hospitals_count_2024,log1p__large_animals_year_end_2024,rankpct__large_animals_year_end_2024,log1p__milk_output_2024,rankpct__milk_output_2024,log1p__population_2024,rankpct__population_2024,log1p__pork_output_2024,rankpct__pork_output_2024,log1p__sewage_disposal_capacity_2024,rankpct__sewage_disposal_capacity_2024,log1p__sewage_pipe_length_2024,rankpct__sewage_pipe_length_2024,log1p__total_aquatic_products_2024,rankpct__total_aquatic_products_2024,log1p__urban_env_infra_investment_2024,rankpct__urban_env_infra_investment_2024,log1p__urban_share_2024,rankpct__urban_share_2024,WastewaterHealthIndex,LivestockAquacultureIndex,EconomicScaleIndex
Heilongjiang,240.3,81.4,16476.9,54102.0,1296.1,23.51,1278.0,500.0,443.7,3029.0,196.2,511.7,14593.0,81.4,857770.0,68.05,5.4860409726309864,0.7419354838709677,4.411585436915426,0.5806451612903226,9.709775368159463,0.22580645161290322,10.898644916162183,0.06451612903225806,7.167886282346627,0.5483870967741935,3.1990811975400213,0.4838709677419355,7.153833801578843,0.5483870967741935,6.2166061010848646,0.7741935483870968,6.097399897516651,0.9032258064516129,8.016317898503415,0.3870967741935484,5.284218442168535,0.6129032258064516,6.239690878789655,0.41935483870967744,9.588365764325566,0.22580645161290322,4.411585436915426,0.5161290322580645,13.662092443079118,0.3225806451612903,4.234830879855301,0.6451612903225806,0.4,0.6682027649769585,0.33064516129032256
Henan,571.1,100.4,63590.0,64888.0,4030.9,57.19,2472.0,357.1,230.5,9785.0,470.9,1133.8,41110.0,100.4,2136370.0,59.22,6.349313801274483,1.0,4.619073091157083,0.6451612903225806,11.060227229880846,0.8387096774193549,11.080433396801446,0.22580645161290322,8.301993007856339,1.0,4.063713518668578,0.967741935483871,7.813187267521416,0.9354838709677419,5.880812277004387,0.6451612903225806,5.444579873526289,0.8387096774193549,9.188708071849069,0.9354838709677419,6.156767098732342,0.967741935483871,7.034211702934696,0.8064516129032258,10.624031004577834,0.8064516129032258,4.619073091157083,0.5483870967741935,14.574619153118586,0.7741935483870968,4.0980045230535875,0.1935483870967742,0.8580645161290322,0.8064516129032259,0.5483870967741935
Hubei,249.9,546.4,60013.0,102832.0,2520.7,34.23,1268.0,212.5,6.9,5834.0,351.2,1089.6,44713.0,546.4,3421650.0,66.35,5.525054453372377,0.8064516129032258,6.305179796606579,1.0,11.002333147319582,0.8064516129032258,11.54086159216313,0.7419354838709677,7.832688556237634,0.8387096774193549,3.561897992353146,0.7096774193548387,7.1459844677143876,0.5161290322580645,5.363636832668679,0.45161290322580644,2.066862759472976,0.16129032258064516,8.671629544720656,0.7096774193548387,5.864199196062105,0.8387096774193549,6.994483282491961,0.7741935483870968,10.708041930670204,0.8387096774193549,6.305179796606579,0.8709677419354839,15.045633741091212,0.9354838709677419,4.209902902856373,0.5806451612903226,0.7548387096774194,0.7096774193548387,0.7096774193548386
Hunan,211.8,299.1,53231.0,81225.0,3652.6,38.2,1763.0,319.8,8.8,6539.0,455.2,946.9,30031.0,299.1,684706.0,62.07,5.360352757467489,0.6451612903225806,5.704115752446321,0.8709677419354839,10.882414998258257,0.7096774193548387,11.30499067194197,0.5806451612903226,8.203468261870789,0.967741935483871,3.6686767467964168,0.8064516129032258,7.475339236566737,0.8064516129032258,5.77081787599236,0.5483870967741935,2.2823823856765264,0.1935483870967742,8.785692444451245,0.7741935483870968,6.122931309850288,0.9354838709677419,6.854249011458996,0.7096774193548387,10.31001875882629,0.7419354838709677,5.704115752446321,0.7096774193548387,13.436746288512422,0.25806451612903225,4.14424522067556,0.2903225806451613,0.664516129032258,0.695852534562212,0.5887096774193549
Inner Mongolia,221.8,11.6,26314.6,110011.0,663.1,13.91,861.0,1060.2,779.8,2388.0,80.6,251.5,15784.0,11.6,1508472.0,70.73,5.406274508053129,0.6774193548387096,2.533696813957432,0.22580645161290322,10.177917198211968,0.3870967741935484,11.608344729733664,0.7741935483870968,6.498432740546668,0.3225806451612903,2.702032128776647,0.22580645161290322,6.759255270663693,0.3548387096774194,6.967155622263585,1.0,6.660319035098882,1.0,7.77863014732581,0.25806451612903225,4.401829261970061,0.3225806451612903,5.531411248715415,0.1935483870967742,9.666815400992093,0.3225806451612903,2.533696813957432,0.1935483870967742,14.226608438846329,0.5483870967741935,4.272909070138343,0.7096774193548387,0.32903225806451614,0.5345622119815667,0.532258064516129
Jiangsu,264.2,388.0,137008.0,160694.0,1421.6,47.32,2246.0,36.7,70.5,8526.0,187.4,1904.4,98306.0,536.1,3195784.0,75.53,5.580484258311707,0.9032258064516129,5.963579343618446,0.9354838709677419,11.8278018960832,0.967741935483871,11.987263437364769,0.9354838709677419,7.2602414622994145,0.6129032258064516,3.8778455536265595,0.8709677419354839,7.717351272185329,0.8709677419354839,3.629660094453965,0.1935483870967742,4.269697449699962,0.6129032258064516,9.050992878742049,0.9032258064516129,5.238567362142263,0.5806451612903226,7.552447239272679,0.967741935483871,11.495850514179763,0.967741935483871,6.286184296911414,0.8387096774193549,14.97734331201598,0.8709677419354839,4.33768282082183,0.8709677419354839,0.9096774193548388,0.6682027649769585,0.9193548387096775
Jiangxi,106.0,303.3,34202.5,75862.0,1660.9,24.75,1098.0,167.3,4.6,4502.0,252.9,509.1,26606.0,303.3,2040867.0,63.77,4.672828834461906,0.45161290322580644,5.718014056902925,0.9032258064516129,10.440083256995687,0.5483870967741935,11.236684360994033,0.41935483870967744,7.415716805133478,0.7096774193548387,3.248434627109745,0.5161290322580645,7.002155954403621,0.4838709677419355,5.12574810119676,0.3870967741935484,1.7227665977411035,0.12903225806451613,8.412499120301572,0.6129032258064516,5.536940488710632,0.7096774193548387,6.234606784928881,0.3870967741935484,10.188929618044561,0.5806451612903226,5.718014056902925,0.7419354838709677,14.528885765521194,0.7419354838709677,4.170842533194826,0.41935483870967744,0.5419354838709677,0.576036866359447,0.5
Jilin,226.3,26.6,14361.2,61689.0,1115.1,15.9,873.0,440.9,30.3,2317.0,159.3,535.2,15534.0,26.6,456757.0,65.78,5.426270730858498,0.7096774193548387,3.3178157727231046,0.3870967741935484,9.5723550342104,0.1935483870967742,11.029877122203684,0.16129032258064516,7.017595744661669,0.5161290322580645,2.827313621929028,0.2903225806451613,6.773080375655535,0.3870967741935484,6.0910836121366945,0.6774193548387096,3.4436180975461075,0.3870967741935484,7.748460023899697,0.22580645161290322,5.0770470596155075,0.5161290322580645,6.284507225801859,0.4838709677419355,9.650850821827147,0.25806451612903225,3.3178157727231046,0.3548387096774194,13.031908989138865,0.16129032258064516,4.201403634515509,0.4838709677419355,0.3161290322580645,0.5069124423963134,0.2661290322580645
Liaoning,129.1,83.9,32612.7,78236.0,1342.1,29.92,1646.0,327.1,131.3,4155.0,235.7,1146.8,27759.0,535.9,792526.0,74.18,4.86830338551846,0.4838709677419355,4.441474093317302,0.6129032258064516,10.392487724475206,0.5161290322580645,11.267497960415284,0.5161290322580645,7.202735653915029,0.5806451612903226,3.4314032237192214,0.6774193548387096,7.4067107301776405,0.7741935483870968,5.793318439967056,0.5806451612903226,4.88507207112091,0.7096774193548387,8.332308352219117,0.5483870967741935,5.466793516519938,0.6451612903225806,7.045602345674262,0.8387096774193549,10.231351414620741,0.7096774193548387,6.2858118574285236,0.8064516129032258,13.582981853553855,0.2903225806451613,4.319885238136032,0.8064516129032258,0.6580645161290322,0.631336405529954,0.596774193548387
Ningxia,36.8,17.9,5502.8,75484.0,72.8,3.77,219.0,248.3,457.0,729.0,9.1,141.7,3115.0,17.9,470978.0,68.22,3.632309102625542,0.22580645161290322,2.9391619220655967,0.25806451612903225,8.613194041743665,0.0967741935483871,11.231689240001836,0.3870967741935484,4.301358731606427,0.12903225806451613,1.56234630490025,0.06451612903225806,5.393627546352362,0.06451612903225806,5.518656990529513,0.4838709677419355,6.126869184114185,0.9354838709677419,6.593044534142437,0.0967741935483871,2.312535423847214,0.12903225806451613,4.960744524482791,0.0967741935483871,8.044305406990638,0.06451612903225806,2.9391619220655967,0.22580645161290322,13.062568786017309,0.1935483870967742,4.237289838207198,0.6774193548387096,0.0967741935483871,0.3410138248847926,0.31451612903225806
