province,bacteria,CARSS_abx,resistant_pc,n_strains
Beijing,E. coli,Cefotaxime,50.4,
Beijing,E. coli,Ceftriaxone,51.1,
Beijing,E. coli,Chloramphenicol,22.8,
Beijing,E. coli,Ciprofloxacin,57.1,
Beijing,E. coli,Gentamicin,33.1,
Beijing,E. coli,Levofloxacin,56.2,
Chongqing,E. coli,Amoxicillin,14.9,
Chongqing,E. coli,Ampicillin,84,
Chongqing,E. coli,Cefazolin,57.1,
Chongqing,E. coli,Cefotaxime,48.3,
Chongqing,E. coli,Ceftriaxone,48.6,
Chongqing,E. coli,Chloramphenicol,23.5,
Chongqing,E. coli,Ciprofloxacin,47.4,
Chongqing,E. coli,Gentamicin,31.3,
Chongqing,E. coli,Levofloxacin,45.4,
Fujian,E. coli,Amoxicillin,9.4,
Fujian,E. coli,Ampicillin,79.6,
Fujian,E. coli,Cefazolin,61.6,
Fujian,E. coli,Cefotaxime,45.8,
Fujian,E. coli,Ceftriaxone,46.1,
Fujian,E. coli,Chloramphenicol,27.5,
Fujian,E. coli,Ciprofloxacin,48.6,
Fujian,E. coli,Gentamicin,31.5,
Fujian,E. coli,Levofloxacin,46.2,
Gansu,E. coli,Amoxicillin,13.7,
Gansu,E. coli,Ampicillin,88.1,
Gansu,E. coli,Cefazolin,64.5,
Gansu,E. coli,Cefotaxime,44.3,
Gansu,E. coli,Ceftriaxone,51.1,
Gansu,E. coli,Chloramphenicol,21.9,
Gansu,E. coli,Ciprofloxacin,53.5,
Gansu,E. coli,Gentamicin,36.7,
Gansu,E. coli,Levofloxacin,50.9,
Guangdong,E. coli,Amoxicillin,10.3,
Guangdong,E. coli,Ampicillin,80.5,
Guangdong,E. coli,Cefazolin,61,
Guangdong,E. coli,Cefotaxime,47.1,
Guangdong,E. coli,Ceftriaxone,45.9,
Guangdong,E. coli,Chloramphenicol,35.7,
Guangdong,E. coli,Ciprofloxacin,43.2,
Guangdong,E. coli,Gentamicin,30.6,
Guangdong,E. coli,Levofloxacin,42,
Guangxi,E. coli,Amoxicillin,16.4,
Guangxi,E. coli,Ampicillin,81.4,
Guangxi,E. coli,Cefazolin,59.1,
Guangxi,E. coli,Cefotaxime,46,
Guangxi,E. coli,Ceftriaxone,45.2,
Guangxi,E. coli,Chloramphenicol,36.1,
Guangxi,E. coli,Ciprofloxacin,44,
Guangxi,E. coli,Gentamicin,33.1,
Guangxi,E. coli,Levofloxacin,42.8,
Guizhou,E. coli,Amoxicillin,12.1,
Guizhou,E. coli,Ampicillin,84.5,
Guizhou,E. coli,Cefazolin,59.7,
Guizhou,E. coli,Cefotaxime,46.2,
Guizhou,E. coli,Ceftriaxone,50.3,
Guizhou,E. coli,Chloramphenicol,22.6,
Guizhou,E. coli,Ciprofloxacin,45.6,
Guizhou,E. coli,Gentamicin,34.2,
Guizhou,E. coli,Levofloxacin,43.9,
Hainan,E. coli,Amoxicillin,14.3,
Hainan,E. coli,Ampicillin,79.2,
Hainan,E. coli,Cefazolin,53.9,
Hainan,E. coli,Cefotaxime,45.7,
Hainan,E. coli,Ceftriaxone,43,
Hainan,E. coli,Chloramphenicol,35.4,
Hainan,E. coli,Ciprofloxacin,47.7,
Hainan,E. coli,Gentamicin,30.9,
Hainan,E. coli,Levofloxacin,45.2,
Hebei,E. coli,Amoxicillin,19.1,
Hebei,E. coli,Ampicillin,84.2,
Hebei,E. coli,Cefazolin,64.6,
Hebei,E. coli,Cefotaxime,52.4,
Hebei,E. coli,Ceftriaxone,52.9,
Hebei,E. coli,Chloramphenicol,24.1,
Hebei,E. coli,Ciprofloxacin,58.1,
Hebei,E. coli,Gentamicin,37.8,
Hebei,E. coli,Levofloxacin,54.8,
Heilongjiang,E. coli,Amoxicillin,10.8,
Heilongjiang,E. coli,Ampicillin,83.1,
Heilongjiang,E. coli,Cefazolin,63.4,
Heilongjiang,E. coli,Cefotaxime,51.4,
Heilongjiang,E. coli,Ceftriaxone,52.2,
Heilongjiang,E. coli,Chloramphenicol,29,
Heilongjiang,E. coli,Ciprofloxacin,62.3,
Heilongjiang,E. coli,Gentamicin,36.3,
Heilongjiang,E. coli,Levofloxacin,58.7,
Henan,E. coli,Amoxicillin,16.3,
Henan,E. coli,Ampicillin,86.3,
Henan,E. coli,Cefazolin,68.1,
Henan,E. coli,Cefotaxime,53.5,
Henan,E. coli,Ceftriaxone,52.6,
Henan,E. coli,Chloramphenicol,24.3,
Henan,E. coli,Ciprofloxacin,57.6,
Henan,E. coli,Gentamicin,37.3,
Henan,E. coli,Levofloxacin,55.1,
Hubei,E. coli,Amoxicillin,10.8,
Hubei,E. coli,Ampicillin,84.9,
Hubei,E. coli,Cefazolin,60.5,
Hubei,E. coli,Cefotaxime,48,
Hubei,E. coli,Ceftriaxone,47.1,
Hubei,E. coli,Chloramphenicol,20.5,
Hubei,E. coli,Ciprofloxacin,51,
Hubei,E. coli,Gentamicin,29.9,
Hubei,E. coli,Levofloxacin,40.5,
Hunan,E. coli,Amoxicillin,10.7,
Hunan,E. coli,Ampicillin,80.9,
Hunan,E. coli,Cefazolin,56.5,
Hunan,E. coli,Cefotaxime,45.7,
Hunan,E. coli,Ceftriaxone,45.9,
Hunan,E. coli,Chloramphenicol,25.4,
Hunan,E. coli,Ciprofloxacin,44.5,
Hunan,E. coli,Gentamicin,28.8,
Hunan,E. coli,Levofloxacin,40.4,
Inner Mongolia,E. coli,Amoxicillin,9.4,
Inner Mongolia,E. coli,Ampicillin,82.8,
Inner Mongolia,E. coli,Cefazolin,72.6,
Inner Mongolia,E. coli,Cefotaxime,50.6,
Inner Mongolia,E. coli,Ceftriaxone,49.7,
Inner Mongolia,E. coli,Chloramphenicol,24.3,
Inner Mongolia,E. coli,Ciprofloxacin,65.8,
Inner Mongolia,E. coli,Gentamicin,38.1,
Inner Mongolia,E. coli,Levofloxacin,62.8,
Jiangsu,E. coli,Amoxicillin,11.7,
Jiangsu,E. coli,Ampicillin,82.5,
Jiangsu,E. coli,Cefazolin,63.3,
Jiangsu,E. coli,Cefotaxime,51.1,
Jiangsu,E. coli,Ceftriaxone,50.7,
Jiangsu,E. coli,Chloramphenicol,23.5,
Jiangsu,E. coli,Ciprofloxacin,56.4,
Jiangsu,E. coli,Gentamicin,33,
Jiangsu,E. coli,Levofloxacin,54.6,
Jiangxi,E. coli,Amoxicillin,14.1,
