scenario,matrix,env_class,endpoint,driver_metric,n_provinces,n_clusters,env_records_total,env_refs_total,n_units,env_year_min,env_year_max,env_amr_rho,env_amr_p,partial_env_amr_rho,partial_env_amr_p,cluster_contrast_p,cluster_contrast_epsilon,driver_env_rho,driver_env_p,driver_amr_rho,driver_amr_p,coherent_direction,loo_sign_stability,loo_influence_ratio,loo_most_influential_province,env_amr_q_fdr,partial_env_amr_q_fdr
all_years,wastewater influent,fluoroquinolones,K. pneumoniae | Ampicillin,urban_share_2024,11,3,44,12,1,2016,2024,0.16363636363636364,0.6306852146425357,0.14545454545454548,0.6695786456420786,0.07495187103951058,0.3977272727272725,0.2727272727272727,0.41714143714253127,0.36363636363636365,0.27163754099382265,TRUE,0.9090909090909091,1.333333333333333,Sichuan,0.9843507082702075,0.9729669155213013
all_years,sludge,sulfonamides,A. baumannii | Cefepime,hospitals_count_2024,16,3,143,28,1,2005,2017,-0.16272681119888097,0.5470789717571667,-0.41764705882352937,0.10747407939930081,0.6133729962850374,0,0.3070317192431717,0.24738910127380673,0.23823529411764705,0.3742541297279882,FALSE,1,0.6888242638627361,Gansu,0.9620365237647919,0.7902982973469247
all_years,sludge,tetracyclines,K. pneumoniae | Tigecycline,LivestockAquacultureIndex,14,3,77,19,2,2004,2020,0.1624156988594455,0.5790649040884317,0.3142857142857143,0.2738049029628676,0.30098512187415105,0.03648989898989916,0.44378374054552716,0.11193596059833444,-0.23516483516483516,0.4183338961985912,FALSE,1,1.508663821205194,Hebei,0.9739177869158879,0.8969656318280155
all_years,sludge,tetracyclines,P. aeruginosa | Piperacillin,sewage_pipe_length_2024,14,3,77,19,2,2004,2020,-0.1624156988594455,0.5790649040884321,-0.054945054945054944,0.8520077036323677,0.30098512187415105,0.03648989898989916,0.26764277135993136,0.3549157774316807,0.3978021978021978,0.15895077451083472,FALSE,1,1.0282813873573906,Hebei,0.9739177869158879,0.9842154623604513
all_years,sludge,macrolides,S. aureus | Trimethoprim/Sulfamethoxazole,milk_output_2024,14,3,77,25,1,2005,2017,-0.16241482807482935,0.5790669664001507,-0.33186813186813185,0.24637718314961182,0.8556343441410651,0,-0.34262854141813315,0.23045006637631998,0.6483516483516484,0.012144222573105724,TRUE,1,1.1460851640337932,Shanghai,0.9739177869158879,0.8785296752720978
all_years,sediment,sulfonamides,K. pneumoniae | Cefepime,grp_2024,24,3,1061,135,2,2008,2025,-0.16220917974239324,0.4488856700707844,-0.1034782608695652,0.6303950708493535,0.0015521231748156271,0.520774428109915,-0.23961731377495624,0.2594293755011346,0.5104347826086957,0.010817218599752942,TRUE,1,0.7487723128473089,Guangdong,0.9606720658320372,0.9643538787526716
all_years,sediment,other,P. aeruginosa | Imipenem,LivestockAquacultureIndex,7,2,19,10,1,2008,2018,-0.1621687432852006,0.7282995630820224,NA,NA,0.3724558699813696,0,-0.10811249552346708,0.8175332656241181,-0.5,0.2531699951003227,FALSE,0.7142857142857143,2.2332832822676982,Shanghai,0.985139664720586,NA
all_years,sediment,other,S. aureus | Gentamicin,LivestockAquacultureIndex,7,2,19,10,1,2008,2018,-0.1621687432852006,0.7282995630820224,NA,NA,0.3724558699813696,0,-0.10811249552346708,0.8175332656241181,-0.39285714285714285,0.38331687042697266,FALSE,0.8571428571428571,2.5856499343441843,Shanghai,0.985139664720586,NA
all_years,sediment,other,S. aureus | Rifampicin,LivestockAquacultureIndex,7,2,19,10,1,2008,2018,0.1621687432852006,0.7282995630820224,NA,NA,0.3724558699813696,0,-0.10811249552346708,0.8175332656241181,0.35714285714285715,0.4316113520383284,FALSE,1,4.362664443598959,Tianjin,0.985139664720586,NA
all_years,soil,macrolides,E. coli | Cefotetan,milk_output_2024,20,3,104,34,2,2006,2020,-0.16181734693599603,0.4955006887964454,-0.17293233082706766,0.46594008519241703,0.3132637601270729,0.018907030492805205,0.43554575623894254,0.054921130935576906,0.4481203007518797,0.04753173575066418,FALSE,1,0.8690343271947041,Tibet,0.9606720658320372,0.9606462350922552
