scenario,matrix,env_class,endpoint,driver_metric,n_provinces,n_clusters,env_records_total,env_refs_total,n_units,env_year_min,env_year_max,env_amr_rho,env_amr_p,partial_env_amr_rho,partial_env_amr_p,cluster_contrast_p,cluster_contrast_epsilon,driver_env_rho,driver_env_p,driver_amr_rho,driver_amr_p,coherent_direction,loo_sign_stability,loo_influence_ratio,loo_most_influential_province,coverage_score,interpretability_score,cluster_contrast_score,loo_sign_stability_score,driver_env_amr_coherence_score,env_amr_q_fdr,partial_env_amr_q_fdr,matrix_consistency_score,pathway_total_score,pathway_class,pathway_class_rank,rf_driver_support,elastic_net_driver_support,multivariable_env_support,bootstrap_sign_stability
sample_year_ge_2012,soil,macrolides,P. aeruginosa | Aztreonam,urban_env_infra_investment_2024,14,3,65,18,2,2012,2020,0.2516928520870819,0.3853697721836721,0.07692307692307693,0.7938058883554533,0.29848686652087264,0.03800533552226636,-0.5523878523681091,0.04052380748184192,-0.7274725274725274,0.0031906163189881526,TRUE,1,0.7225101494234737,Tibet,3,3,0,5,4,0.9897658389202042,0.9983183529452494,4,19,Strong lead,2,,,,NA
sample_year_ge_2012,surface water,tetracyclines,E. coli | Tigecycline,LivestockAquacultureIndex,14,2,39,16,1,2015,2024,0.23516483516483513,0.4183338961985912,0.12087912087912088,0.6806070200628929,0.6547208460185748,0,0.389010989010989,0.16921738979769063,0.23516483516483516,0.4183338961985912,TRUE,1,0.7056074766355143,Sichuan,3,5,0,5,3,0.9897658389202042,0.9983183529452494,3,19,Strong lead,2,,,,NA
all_years,surface water,macrolides,K. pneumoniae | Cefotaxime,freshwater_aquatic_products_2024,14,3,42,16,1,2015,2023,-0.23516483516483513,0.4183338961985912,-0.2703296703296703,0.3499193863496043,0.006641885476426646,0.5788497217068641,-0.4153846153846154,0.1396659475175257,0.432967032967033,0.1220100059684803,TRUE,1,1.0093457943925237,Guangdong,3,3,5,4,4,0.9640431604344515,0.9288832142478545,0,19,Strong lead,2,,,,NA
all_years,sediment,phenicols,S. aureus | Erythromycin,milk_output_2024,14,3,58,25,1,2006,2020,-0.22197802197802197,0.4456296579536081,-0.2571428571428571,0.3748119038799703,0.20022103787458767,0.11060606060606078,-0.23956043956043957,0.4094298928517326,0.6175824175824176,0.018604674280708396,TRUE,1,0.9059405940594063,Jilin,3,3,2,4,3,0.9640431604344515,0.9394461406027341,4,19,Strong lead,2,,,,NA
all_years,sediment,phenicols,E. coli | Ceftriaxone,milk_output_2024,14,3,58,25,1,2006,2020,-0.21758241758241756,0.4549193731700335,-0.25274725274725274,0.3833149644785111,0.20022103787458767,0.11060606060606078,-0.23956043956043957,0.4094298928517326,0.5472527472527473,0.042822049378197294,TRUE,1,0.8686868686868692,Jilin,3,3,2,4,3,0.9640431604344515,0.9454367231615778,4,19,Strong lead,2,,,,NA
all_years,sediment,phenicols,E. coli | Cefuroxime,milk_output_2024,14,3,58,25,1,2006,2020,-0.21758241758241756,0.4549193731700335,-0.25274725274725274,0.3833149644785111,0.20022103787458767,0.11060606060606078,-0.23956043956043957,0.4094298928517326,0.5472527472527473,0.042822049378197294,TRUE,1,0.8686868686868692,Jilin,3,3,2,4,3,0.9640431604344515,0.9454367231615778,4,19,Strong lead,2,,,,NA
all_years,sediment,phenicols,K. pneumoniae | Cefazolin,EconomicScaleIndex,14,3,58,25,1,2006,2020,-0.2,0.49300373504000006,-0.22197802197802197,0.4456296579536081,0.20022103787458767,0.11060606060606078,-0.45544582015437723,0.10172896795546961,0.385038736845488,0.17399451894077544,TRUE,0.9285714285714286,1,Shanghai,3,3,2,4,4,0.9640431604344515,0.9548392224163499,3,19,Strong lead,2,,,,NA
all_years,sediment,phenicols,S. aureus | Oxacillin,EconomicScaleIndex,14,3,58,25,1,2006,2020,-0.1956043956043956,0.5027500912969567,-0.03296703296703296,0.9109186530718454,0.20022103787458767,0.11060606060606078,-0.45544582015437723,0.10172896795546961,0.33003320301041833,0.24915825999934313,TRUE,0.9285714285714286,1.0280898876404494,Shanghai,3,3,2,4,4,0.9640431604344515,0.9839482303587244,3,19,Strong lead,2,,,,NA
all_years,sediment,phenicols,K. pneumoniae | Cefotaxime,EconomicScaleIndex,14,3,58,25,1,2006,2020,-0.18241758241758244,0.5325088185186944,-0.12527472527472527,0.6695823965448445,0.20022103787458767,0.11060606060606078,-0.45544582015437723,0.10172896795546961,0.45104537744757167,0.10550165578980025,TRUE,0.9285714285714286,1.1204819277108433,Shanghai,3,3,2,4,4,0.9640431604344515,0.9735149286785509,3,19,Strong lead,2,,,,NA
all_years,surface water,macrolides,A. baumannii | Amikacin,LivestockAquacultureIndex,14,3,42,16,1,2015,2023,-0.17802197802197803,0.5425969526062151,0.12527472527472527,0.6695823965448445,0.006641885476426646,0.5788497217068641,-0.44175824175824174,0.11377750302872344,0.6263736263736264,0.016541935428871186,TRUE,1,0.9444444444444443,Anhui,3,3,5,4,4,0.9640431604344515,0.9735149286785509,0,19,Strong lead,2,,,,NA
