sample_type,matrix,province,location,season,lon,lat,sample_year,antibiotic,antibiotic_class,mean_concentration,max_concentration,concentration_unit,reference_number
soil,soil,Guangdong,Guangdong,NA,113.26653,23.132191,NA,Sulfadiazine,Sulfonamides,5.5,74,ng/g,133
soil,soil,Guangdong,Guangdong,NA,113.26653,23.132191,NA,Sulfadimethoxine,Sulfonamides,4.9,40.4,ng/g,133
soil,soil,Guangdong,Guangdong,NA,113.26653,23.132191,NA,Sulfadimidine,Sulfonamides,16,93.5,ng/g,133
soil,soil,Guangdong,Guangdong,NA,113.26653,23.132191,NA,Sulfadimidine,Sulfonamides,23.5,54.5,ng/g,133
soil,soil,Guangdong,Guangdong,NA,113.26653,23.132191,NA,Sulfamerazine,Sulfonamides,13.4,85.5,ng/g,133
soil,soil,Guangdong,Guangdong,NA,113.26653,23.132191,NA,Sulfameter,Sulfonamides,51.4,120.4,ng/g,133
soil,soil,Guangdong,Guangdong,NA,113.26653,23.132191,NA,Tetracycline,Tetracyclines,44.1,74.4,ng/g,133
soil,soil,Guangdong,Guangdong Dongguan,7,113.751765,23.020536,2013,Chloramphenicol,Phenicols,22.3,NA,ng/g,209
soil,soil,Guangdong,Guangdong Dongguan,7,113.751765,23.020536,2013,Erythromycin,Macrolides,3.4,NA,ng/g,209
soil,soil,Guangdong,Guangdong Dongguan,7,113.751765,23.020536,2013,Norfloxacin,Fluoroquinolones,66.7,NA,ng/g,209
soil,soil,Guangdong,Guangdong Dongguan,7,113.751765,23.020536,2013,Sulfadimidine,Sulfonamides,4.2,NA,ng/g,209
soil,soil,Guangdong,Guangdong Dongguan,7,113.751765,23.020536,2013,Tetracycline,Tetracyclines,21.9,NA,ng/g,209
soil,soil,Guangdong,Guangdong Dongguan,NA,113.751765,23.020536,NA,Chlortetracycline,Tetracyclines,5.13,76,ng/g,18
soil,soil,Guangdong,Guangdong Dongguan,NA,113.751765,23.020536,NA,Ciprofloxacin,Fluoroquinolones,24.93,296.13,ng/g,19
soil,soil,Guangdong,Guangdong Dongguan,NA,113.751765,23.020536,NA,Doxycycline,Tetracyclines,5.45,44.57,ng/g,18
soil,soil,Guangdong,Guangdong Dongguan,NA,113.751765,23.020536,NA,Enrofloxacin,Fluoroquinolones,19.85,424.4,ng/g,19
soil,soil,Guangdong,Guangdong Dongguan,NA,113.751765,23.020536,NA,Lomefloxacin,Fluoroquinolones,0.67,4.02,ng/g,19
soil,soil,Guangdong,Guangdong Dongguan,NA,113.751765,23.020536,NA,Norfloxacin,Fluoroquinolones,4.8,21.81,ng/g,19
soil,soil,Guangdong,Guangdong Dongguan,NA,113.751765,23.020536,NA,Oxytetracycline,Tetracyclines,8.95,103.4,ng/g,18
soil,soil,Guangdong,Guangdong Dongguan,NA,113.751765,23.020536,NA,Tetracycline,Tetracyclines,1.32,7.24,ng/g,18
soil,soil,Guangdong,Guangdong Foshan,7,113.121416,23.021548,2013,Chloramphenicol,Phenicols,10.1,NA,ng/g,209
soil,soil,Guangdong,Guangdong Foshan,7,113.121416,23.021548,2013,Erythromycin,Macrolides,4.4,NA,ng/g,209
soil,soil,Guangdong,Guangdong Foshan,7,113.121416,23.021548,2013,Norfloxacin,Fluoroquinolones,36.8,NA,ng/g,209
soil,soil,Guangdong,Guangdong Foshan,7,113.121416,23.021548,2013,Sulfadimidine,Sulfonamides,3.8,NA,ng/g,209
soil,soil,Guangdong,Guangdong Foshan,7,113.121416,23.021548,2013,Tetracycline,Tetracyclines,17.1,NA,ng/g,209
soil,soil,Guangdong,Guangdong Ganzhou,7,113.258333,23.183333,2015,Chlortetracycline,Tetracyclines,8.92,103.02,ng/g,115
soil,soil,Guangdong,Guangdong Ganzhou,7,113.258333,23.183333,2015,Oxytetracycline,Tetracyclines,38.39,903.13,ng/g,115
soil,soil,Guangdong,Guangdong Ganzhou,7,113.258333,23.183333,2015,Tetracycline,Tetracyclines,5.64,30.37,ng/g,115
soil,soil,Guangdong,Guangdong Guangzhou,1,113.384129,22.937244,2011,Chlortetracycline,Tetracyclines,14.5,161.5,ng/g,92
soil,soil,Guangdong,Guangdong Guangzhou,1,113.384129,22.937244,2011,Doxycycline,Tetracyclines,21.87,184.8,ng/g,92
soil,soil,Guangdong,Guangdong Guangzhou,1,113.384129,22.937244,2011,Oxytetracycline,Tetracyclines,2.38,31.85,ng/g,92
soil,soil,Guangdong,Guangdong Guangzhou,1,113.384129,22.937244,2011,Tetracycline,Tetracyclines,2.67,25.66,ng/g,92
soil,soil,Guangdong,Guangdong Guangzhou,7,113.264434,23.129162,2013,Chloramphenicol,Phenicols,5.5,NA,ng/g,209
soil,soil,Guangdong,Guangdong Guangzhou,7,113.264434,23.129162,2013,Erythromycin,Macrolides,3.5,NA,ng/g,209
soil,soil,Guangdong,Guangdong Guangzhou,7,113.264434,23.129162,2013,Norfloxacin,Fluoroquinolones,25.5,NA,ng/g,209
soil,soil,Guangdong,Guangdong Guangzhou,7,113.264434,23.129162,2013,Sulfadimidine,Sulfonamides,2.1,NA,ng/g,209
soil,soil,Guangdong,Guangdong Guangzhou,7,113.264434,23.129162,2013,Tetracycline,Tetracyclines,13,NA,ng/g,209
soil,soil,Guangdong,Guangdong Guangzhou,NA,113.264434,23.129162,NA,Chlortetracycline,Tetracyclines,11.88,76.1,ng/g,11
soil,soil,Guangdong,Guangdong Guangzhou,NA,113.264434,23.129162,NA,Chlortetracycline,Tetracyclines,3.93,20.19,ng/g,212
soil,soil,Guangdong,Guangdong Guangzhou,NA,113.264434,23.129162,NA,Ciprofloxacin,Fluoroquinolones,18.14,87.8,ng/g,11
soil,soil,Guangdong,Guangdong Guangzhou,NA,113.264434,23.129162,NA,Ciprofloxacin,Fluoroquinolones,15.4,47.47,ng/g,186
soil,soil,Guangdong,Guangdong Guangzhou,NA,113.264434,23.129162,NA,Doxycycline,Tetracyclines,0.98,3.29,ng/g,212
soil,soil,Guangdong,Guangdong Guangzhou,NA,113.264434,23.129162,NA,Enrofloxacin,Fluoroquinolones,30.52,109,ng/g,11
soil,soil,Guangdong,Guangdong Guangzhou,NA,113.264434,23.129162,NA,Enrofloxacin,Fluoroquinolones,7.68,24.82,ng/g,186
soil,soil,Guangdong,Guangdong Guangzhou,NA,113.264434,23.129162,NA,Florfenicol,Phenicols,0.64,3.34,ng/g,11
soil,soil,Guangdong,Guangdong Guangzhou,NA,113.264434,23.129162,NA,Lomefloxacin,Fluoroquinolones,0.8,3.91,ng/g,186
soil,soil,Guangdong,Guangdong Guangzhou,NA,113.264434,23.129162,NA,Norfloxacin,Fluoroquinolones,5.1,12.8,ng/g,11
soil,soil,Guangdong,Guangdong Guangzhou,NA,113.264434,23.129162,NA,Norfloxacin,Fluoroquinolones,24.95,95.15,ng/g,186
soil,soil,Guangdong,Guangdong Guangzhou,NA,113.264434,23.129162,NA,Oxytetracycline,Tetracyclines,5.77,9.39,ng/g,11
soil,soil,Guangdong,Guangdong Guangzhou,NA,113.264434,23.129162,NA,Oxytetracycline,Tetracyclines,6.59,46.62,ng/g,212
soil,soil,Guangdong,Guangdong Guangzhou,NA,113.260328,23.005235,NA,Sulfadiazine,Sulfonamides,4.8,98.3,ng/g,119
soil,soil,Guangdong,Guangdong Guangzhou,NA,113.260328,23.005235,NA,Sulfadimethoxypyrimidine,Sulfonamides,5.99,138,ng/g,119
soil,soil,Guangdong,Guangdong Guangzhou,NA,113.264434,23.129162,NA,Sulfadimidine,Sulfonamides,1.75,2.44,ng/g,11
soil,soil,Guangdong,Guangdong Guangzhou,NA,113.260328,23.005235,NA,Sulfadimidine,Sulfonamides,11.8,214,ng/g,119
soil,soil,Guangdong,Guangdong Guangzhou,NA,113.260328,23.005235,NA,Sulfadimidine,Sulfonamides,43.2,688,ng/g,119
soil,soil,Guangdong,Guangdong Guangzhou,NA,113.260328,23.005235,NA,Sulfamerazine,Sulfonamides,3.6,17.5,ng/g,119
soil,soil,Guangdong,Guangdong Guangzhou,NA,113.260328,23.005235,NA,Sulfamethoxydiazine,Sulfonamides,16.7,536,ng/g,119
soil,soil,Guangdong,Guangdong Guangzhou,NA,113.260328,23.005235,NA,Sulfapyridine,Sulfonamides,2.6,25.7,ng/g,119
soil,soil,Guangdong,Guangdong Guangzhou,NA,113.260328,23.005235,NA,Sulfathiazole,Sulfonamides,27.2,284,ng/g,119
soil,soil,Guangdong,Guangdong Guangzhou,NA,113.264434,23.129162,NA,Tetracycline,Tetracyclines,175.77,349,ng/g,11
soil,soil,Guangdong,Guangdong Guangzhou,NA,113.264434,23.129162,NA,Tetracycline,Tetracyclines,1.13,3.97,ng/g,212
soil,soil,Guangdong,Guangdong Heyuan Longchuan County Fengshuba reservoir,NA,115.42125635972,24.468389441173,2015,Cephalexin,Beta-lactams,5.26,26.3,ng/g,50
soil,soil,Guangdong,Guangdong Heyuan Longchuan County Fengshuba reservoir,NA,115.42125635972,24.468389441173,2015,Ciprofloxacin,Fluoroquinolones,1.96,5.11,ng/g,50
soil,soil,Guangdong,Guangdong Heyuan Longchuan County Fengshuba reservoir,NA,115.42125635972,24.468389441173,2015,Doxycycline,Tetracyclines,2.79,8.22,ng/g,50
soil,soil,Guangdong,Guangdong Heyuan Longchuan County Fengshuba reservoir,NA,115.42125635972,24.468389441173,2015,Erythromycin-H2O,Macrolides,1.75,6.6,ng/g,50
soil,soil,Guangdong,Guangdong Heyuan Longchuan County Fengshuba reservoir,NA,115.42125635972,24.468389441173,2015,Lincomycin,Lincosamides,0.2,0.98,ng/g,50
soil,soil,Guangdong,Guangdong Heyuan Longchuan County Fengshuba reservoir,NA,115.42125635972,24.468389441173,2015,Norfloxacin,Fluoroquinolones,2.97,11.2,ng/g,50
soil,soil,Guangdong,Guangdong Heyuan Longchuan County Fengshuba reservoir,NA,115.42125635972,24.468389441173,2015,Ofloxacin,Fluoroquinolones,2.6,10.2,ng/g,50
soil,soil,Guangdong,Guangdong Heyuan Longchuan County Fengshuba reservoir,NA,115.42125635972,24.468389441173,2015,Oxytetracycline,Tetracyclines,1.05,3.93,ng/g,50
soil,soil,Guangdong,Guangdong Heyuan Longchuan County Fengshuba reservoir,NA,115.42125635972,24.468389441173,2015,Penicillin G,Beta-lactams,1.23,6.16,ng/g,50
soil,soil,Guangdong,Guangdong Heyuan Longchuan County Fengshuba reservoir,NA,115.42125635972,24.468389441173,2015,Penicillin V,Beta-lactams,4.34,14.2,ng/g,50
soil,soil,Guangdong,Guangdong Heyuan Longchuan County Fengshuba reservoir,NA,115.42125635972,24.468389441173,2015,Sulfadiazine,Sulfonamides,1.65,2.75,ng/g,50
soil,soil,Guangdong,Guangdong Heyuan Longchuan County Fengshuba reservoir,NA,115.42125635972,24.468389441173,2015,Sulfamonomethoxine,Sulfonamides,3.14,9.99,ng/g,50
soil,soil,Guangdong,Guangdong Heyuan Longchuan County Fengshuba reservoir,NA,115.42125635972,24.468389441173,2015,Sulfaquinoxaline,Sulfonamides,0.63,1.13,ng/g,50
soil,soil,Guangdong,Guangdong Heyuan Longchuan County Fengshuba reservoir,NA,115.42125635972,24.468389441173,2015,Tylosin,Macrolides,1.43,7.14,ng/g,50
soil,soil,Guangdong,Guangdong Heyuan Longchuan County Fengshuba reservoir,NA,115.42125635972,24.468389441173,2015,Vancomycin,Other,0.77,2.34,ng/g,50
soil,soil,Guangdong,Guangdong Huizhou,7,114.416196,23.111847,2013,Chloramphenicol,Phenicols,4.1,NA,ng/g,209
soil,soil,Guangdong,Guangdong Huizhou,7,114.416196,23.111847,2013,Erythromycin,Macrolides,1.1,NA,ng/g,209
soil,soil,Guangdong,Guangdong Huizhou,7,114.416196,23.111847,2013,Norfloxacin,Fluoroquinolones,23.9,NA,ng/g,209
soil,soil,Guangdong,Guangdong Huizhou,7,114.416196,23.111847,2013,Sulfadimidine,Sulfonamides,1.4,NA,ng/g,209
soil,soil,Guangdong,Guangdong Huizhou,7,114.416196,23.111847,2013,Tetracycline,Tetracyclines,8.9,NA,ng/g,209
soil,soil,Guangdong,Guangdong Huizhou Huicheng district,NA,114.4,23.09,NA,Chlortetracycline,Tetracyclines,0,NA,ng/g,83
soil,soil,Guangdong,Guangdong Huizhou Huicheng district,NA,114.4,23.09,NA,Ciprofloxacin,Fluoroquinolones,0,NA,ng/g,83
soil,soil,Guangdong,Guangdong Huizhou Huicheng district,NA,114.4,23.09,NA,Doxycycline,Tetracyclines,0,NA,ng/g,83
soil,soil,Guangdong,Guangdong Huizhou Huicheng district,NA,114.4,23.09,NA,Enrofloxacin,Fluoroquinolones,0,NA,ng/g,83
soil,soil,Guangdong,Guangdong Huizhou Huicheng district,NA,114.4,23.09,NA,Erythromycin,Macrolides,0,NA,ng/g,83
soil,soil,Guangdong,Guangdong Huizhou Huicheng district,NA,114.4,23.09,NA,Norfloxacin,Fluoroquinolones,0,NA,ng/g,83
soil,soil,Guangdong,Guangdong Huizhou Huicheng district,NA,114.4,23.09,NA,Ofloxacin,Fluoroquinolones,27.2,NA,ng/g,83
soil,soil,Guangdong,Guangdong Huizhou Huicheng district,NA,114.4,23.09,NA,Oxytetracycline,Tetracyclines,0,NA,ng/g,83
soil,soil,Guangdong,Guangdong Huizhou Huicheng district,NA,114.4,23.09,NA,Sulfadiazine,Sulfonamides,0,NA,ng/g,83
soil,soil,Guangdong,Guangdong Huizhou Huicheng district,NA,114.4,23.09,NA,Sulfadimethoxine,Sulfonamides,0,NA,ng/g,83
soil,soil,Guangdong,Guangdong Huizhou Huicheng district,NA,114.4,23.09,NA,Sulfadimidine,Sulfonamides,0,NA,ng/g,83
soil,soil,Guangdong,Guangdong Huizhou Huicheng district,NA,114.4,23.09,NA,Sulfaguanidine,Sulfonamides,0,NA,ng/g,83
soil,soil,Guangdong,Guangdong Huizhou Huicheng district,NA,114.4,23.09,NA,Sulfamethoxazole,Sulfonamides,0,NA,ng/g,83
soil,soil,Guangdong,Guangdong Huizhou Huicheng district,NA,114.4,23.09,NA,Sulfamethoxydiazine,Sulfonamides,0,NA,ng/g,83
soil,soil,Guangdong,Guangdong Huizhou Huicheng district,NA,114.4,23.09,NA,Sulfamonomethoxine,Sulfonamides,0,NA,ng/g,83
soil,soil,Guangdong,Guangdong Huizhou Huicheng district,NA,114.4,23.09,NA,Sulfathiazole,Sulfonamides,0,NA,ng/g,83
soil,soil,Guangdong,Guangdong Huizhou Huicheng district,NA,114.4,23.09,NA,Tetracycline,Tetracyclines,26.4,NA,ng/g,83
soil,soil,Guangdong,Guangdong Huizhou Huicheng district,NA,114.4,23.09,NA,Tylosin,Macrolides,0,NA,ng/g,83
soil,soil,Guangdong,Guangdong Jiangmen Zhenhai Bay Mangrove Nature Reserve,5,112.3875,21.933333,2015,Ciprofloxacin,Fluoroquinolones,36.4,NA,ng/g,105
soil,soil,Guangdong,Guangdong Jiangmen Zhenhai Bay Mangrove Nature Reserve,5,112.3875,21.933333,2015,Enrofloxacin,Fluoroquinolones,41.73,NA,ng/g,105
soil,soil,Guangdong,Guangdong Jiangmen Zhenhai Bay Mangrove Nature Reserve,5,112.3875,21.933333,2015,Norfloxacin,Fluoroquinolones,53.96,NA,ng/g,105
soil,soil,Guangdong,Guangdong Jiangmen Zhenhai Bay Mangrove Nature Reserve,5,112.3875,21.933333,2015,Ofloxacin,Fluoroquinolones,36.85,NA,ng/g,105
soil,soil,Guangdong,Guangdong Pearl river Delta,NA,113.825175606403,23.0857406612354,NA,Chlortetracycline,Tetracyclines,0.87,4.35,ng/g,20
soil,soil,Guangdong,Guangdong Pearl river Delta,NA,113.825175606403,23.0857406612354,NA,Chlortetracycline,Tetracyclines,31.1,104.6,ng/g,22
soil,soil,Guangdong,Guangdong Pearl river Delta,NA,113.825175606403,23.0857406612354,NA,Ciprofloxacin,Fluoroquinolones,26.9,119.8,ng/g,22
soil,soil,Guangdong,Guangdong Pearl river Delta,NA,113.825175606403,23.0857406612354,NA,Ciprofloxacin,Fluoroquinolones,9.31,17.21,ng/g,7
soil,soil,Guangdong,Guangdong Pearl river Delta,NA,113.825175606403,23.0857406612354,NA,Doxycycline,Tetracyclines,3.11,6.92,ng/g,20
soil,soil,Guangdong,Guangdong Pearl river Delta,NA,113.825175606403,23.0857406612354,NA,Enrofloxacin,Fluoroquinolones,99.4,1347.6,ng/g,22
soil,soil,Guangdong,Guangdong Pearl river Delta,NA,113.825175606403,23.0857406612354,NA,Enrofloxacin,Fluoroquinolones,3.52,15.46,ng/g,7
soil,soil,Guangdong,Guangdong Pearl river Delta,NA,113.825175606403,23.0857406612354,NA,Lomefloxacin,Fluoroquinolones,7.4,13.7,ng/g,22
soil,soil,Guangdong,Guangdong Pearl river Delta,NA,113.825175606403,23.0857406612354,NA,Lomefloxacin,Fluoroquinolones,0.17,1.96,ng/g,7
soil,soil,Guangdong,Guangdong Pearl river Delta,NA,113.825175606403,23.0857406612354,NA,Norfloxacin,Fluoroquinolones,61.9,150.2,ng/g,22
soil,soil,Guangdong,Guangdong Pearl river Delta,NA,113.825175606403,23.0857406612354,NA,Norfloxacin,Fluoroquinolones,4.98,13.13,ng/g,7
soil,soil,Guangdong,Guangdong Pearl river Delta,NA,113.825175606403,23.0857406612354,NA,Oxytetracycline,Tetracyclines,2.74,11.62,ng/g,20
soil,soil,Guangdong,Guangdong Pearl river Delta,NA,113.825175606403,23.0857406612354,NA,Oxytetracycline,Tetracyclines,9.6,79.7,ng/g,22
soil,soil,Guangdong,Guangdong Pearl river Delta,NA,113.825175606403,23.0857406612354,NA,Sulfadiazine,Sulfonamides,13.4,85.5,ng/g,22
soil,soil,Guangdong,Guangdong Pearl river Delta,NA,113.825175606403,23.0857406612354,NA,Sulfadimethoxine,Sulfonamides,4.9,40.4,ng/g,22
soil,soil,Guangdong,Guangdong Pearl river Delta,NA,113.825175606403,23.0857406612354,NA,Sulfadimidine,Sulfonamides,5.5,74,ng/g,22
soil,soil,Guangdong,Guangdong Pearl river Delta,NA,113.825175606403,23.0857406612354,NA,Sulfamerazine,Sulfonamides,16,93.5,ng/g,22
soil,soil,Guangdong,Guangdong Pearl river Delta,NA,113.825175606403,23.0857406612354,NA,Sulfameter,Sulfonamides,51.4,120.4,ng/g,22
soil,soil,Guangdong,Guangdong Pearl river Delta,NA,113.825175606403,23.0857406612354,NA,Sulfamethoxazole,Sulfonamides,23.5,54.5,ng/g,22
soil,soil,Guangdong,Guangdong Pearl river Delta,NA,113.825175606403,23.0857406612354,NA,Tetracycline,Tetracyclines,0.63,4.9,ng/g,20
