pub_id,pub_full,place_in_article_data_extracted_from,article_link
12,"Zong, H., Ma, D., Wang, J. & Hu, J. Research on florfenicol residue in coastal area of dalian (northern china) and analysis of functional diversity of the microbial community in marine sediment. Bull Environ Contam Toxicol 84, 245-249, doi:10.1007/s00128-009-9923-1 (2010).",compiled in Zhang_2022.xls,https://doi.org/10.1007/s00128-009-9923-1
13,"Chen, F. et al. Distribution and accumulation of endocrine-disrupting chemicals and pharmaceuticals in wastewater irrigated soils in Hebei, China. Environ Pollut 159, 1490-1498, doi:10.1016/j.envpol.2011.03.016 (2011).",compiled in Zhang_2022.xls,https://doi.org/10.1016/j.envpol.2011.03.016
14,"Chen, Y. S. et al. Investigation of 14 selected antibiotics in sediments of the typical cross sections of Tiaoxi River. Huan Jing Ke Xue 32, 667-672 (2011).",compiled in Zhang_2022.xls,
15,"Zhang, D., Lin, L., Luo, Z., Yan, C. & Zhang, X. Occurrence of selected antibiotics in Jiulongjiang River in various seasons, South China. Journal of environmental monitoring : JEM 13 (2011).",compiled in Zhang_2022.xls,
16,"Peng, X. et al. Distribution pattern, behavior, and fate of antibacterials in urban aquatic environments in South China. J Environ Monit 13, 446-454, doi:10.1039/c0em00394h (2011).",compiled in Zhang_2022.xls,https://doi.org/10.1039/c0em00394h
17,"Ruan, Y. et al. Distribution Characteristics of Typical Antibiotics in Surface Water and Sediments from Freshwater Aquaculture Water in Tianjin Suburban Areas,China. Journal of Agro-Environment Science 30, 2586-2593 (2011).",compiled in Zhang_2022.xls,
18,"Tai, Y. et al. Concentration and distribution of tetracycline antibiotics in soils from vegetable fields of dongguan City. China Environmental Science 31, 90-95 (2011).",compiled in Zhang_2022.xls,
19,"Tai, Y. et al. Occurrence of quinolone antibiotics in soils from vegetable fields of Dongguan City. Huanjing Kexue Xuebao 31, 839-845 (2011).",compiled in Zhang_2022.xls,
20,"Tai, Y. P. et al. Concentrations and distribution of tetracycline antibiotics in vegetable field soil chronically fertilized with manures. Huan Jing Ke Xue 32, 1182-1187 (2011).",compiled in Zhang_2022.xls,
21,"Chen, W., Huang, J., Sui, Q., Yu, G. & Zhu, W. Determination of Nine Pharmaceutical and Personal Care Products in Sludge by PSE Coupled to UPLC-MS/MS. Research of Environmental Sciences 24, 925-932 (2011).",compiled in Zhang_2022.xls,
22,"Li, Y.-W. et al. Investigation of sulfonamide, tetracycline, and quinolone antibiotics in vegetable farmland soil in the Pearl River Delta area, southern China. Journal of agricultural and food chemistry 59 (2011).",compiled in Zhang_2022.xls,
23,"Yi, L. et al. Occurrence and transport of tetracycline, sulfonamide, quinolone, and macrolide antibiotics in the Haihe River Basin, China. Environmental science & technology 45 (2011).",compiled in Zhang_2022.xls,
24,"Zhou, L.-J. et al. Trends in the occurrence of human and veterinary antibiotics in the sediments of the Yellow River, Hai River and Liao River in northern China. Environmental Pollution 159 (2011).",compiled in Zhang_2022.xls,
25,"Cao, S. Multi-media distribution characteristics and risk assessment of typical PPCPs in the water environment of the Dianshan Lake in Shanghai Shanghai Normal University, (2019).",compiled in Zhang_2022.xls,
26,"Zhao, F. et al. Soil contamination with antibiotics in a typical peri-urban area in eastern China: Seasonal variation, risk assessment, and microbial responses. Journal of environmental sciences (China) 79 (2019).",compiled in Zhang_2022.xls,
27,"Gu, D. et al. Occurrence and Risk Assessment of Antibiotics in Manure, Soil, Wastewater, Groundwater from Livestock and Poultry Farms in Xuzhou, China. Bulletin of Environmental Contamination and Toxicology 103 (2019).",compiled in Zhang_2022.xls,
28,"Guo, X., Feng, C., Gu, E., Tian, C. & Shen, Z. Spatial distribution, source apportionment and risk assessment of antibiotics in the surface water and sediments of the Yangtze Estuary. Sci Total Environ 671, 548-557, doi:10.1016/j.scitotenv.2019.03.393 (2019).",compiled in Zhang_2022.xls,https://doi.org/10.1016/j.scitotenv.2019.03.393
29,"Hao, F. A. N. G. et al. Contamination characteristics and ecological risk assessment of antibiotics in typical eriocheir sinensis aquaculture environments of jiangsu province. J. Ecol. Rural Environ. 35, 1436-1444, doi:10.19741/j.issn.1673-4831.2018.0889 (2019).",compiled in Zhang_2022.xls,https://doi.org/10.19741/j.issn.1673-4831.2018.0889
30,"He, S. et al. Contaminants of emerging concern in a freeze-thaw river during the spring flood. Science of the Total Environment 670, 576-584, doi:10.1016/j.scitotenv.2019.03.256 (2019).",compiled in Zhang_2022.xls,https://doi.org/10.1016/j.scitotenv.2019.03.256
31,"Huang, Y.-H. et al. Occurrence and distribution of antibiotics and antibiotic resistant genes in water and sediments of urban rivers with black-odor water in Guangzhou, South China. Science of the Total Environment 670 (2019).",compiled in Zhang_2022.xls,
32,"Kong, C. C., Zhang, S. W., Nie, C. J. & Hu, Q. Q. Composition, Characteristics, and Accumulation of Antibiotics in the Soil in Agricultural Land. Huan Jing Ke Xue 40, 1981-1989, doi:10.13227/j.hjkx.201809018 (2019).",compiled in Zhang_2022.xls,https://doi.org/10.13227/j.hjkx.201809018
33,"Li, J., Dong, Y., Sun, Z. & Ding, H. in 16th International Symposium on Water-Rock Interaction Vol. 98 (eds O. Shoukar-Stach et al.) (EDP Sciences, Cedex A, 2042).",compiled in Zhang_2022.xls,
34,"Li, S. et al. Antibiotics in water and sediments of Danjiangkou Reservoir, China: Spatiotemporal distribution and indicator screening. Environ Pollut 246, 435-442, doi:10.1016/j.envpol.2018.12.038 (2019).",compiled in Zhang_2022.xls,https://doi.org/10.1016/j.envpol.2018.12.038
35,"Lyu, K. et al. Determination of 14 antibiotics in water and sediment by SPE-RRLC-MS/MS. Huanjing Huaxue-Environmental Chemistry 38, 2415-2424, doi:10.7524/j.issn.0254-6108.2018122904 (2019).",compiled in Zhang_2022.xls,https://doi.org/10.7524/j.issn.0254-6108.2018122904
36,"Pan, L. et al. Determination and distribution of pesticides and antibiotics in agricultural soils from northern China. RSC Adv. 9, 15686-15693, doi:10.1039/c9ra00783k (2019).",compiled in Zhang_2022.xls,https://doi.org/10.1039/c9ra00783k
37,"Qiu, W. et al. Occurrence of antibiotics in the main rivers of Shenzhen, China: Association with antibiotic resistance genes and microbial community. Science of the Total Environment 653 (2019).",compiled in Zhang_2022.xls,
38,"Ruan, Y., Wu, R., Lam, J. C. W., Zhang, K. & Lam, P. K. S. Seasonal occurrence and fate of chiral pharmaceuticals in different sewage treatment systems in Hong Kong: Mass balance, enantiomeric profiling, and risk assessment. Water Research 149, 607-616, doi:10.1016/j.watres.2018.11.010 (2019).",compiled in Zhang_2022.xls,https://doi.org/10.1016/j.watres.2018.11.010
39,"Wang, D., Zhang, X. & Yan, C. Occurrence and removal of sulfonamides and their acetyl metabolites in a biological aerated filter (BAF) of wastewater treatment plant in Xiamen, South China. Environ Sci Pollut Res Int 26, 33363-33372, doi:10.1007/s11356-019-06311-7 (2019).",compiled in Zhang_2022.xls,https://doi.org/10.1007/s11356-019-06311-7
40,"Wang, W., Zhang, W., Liang, H. & Gao, D. Occurrence and fate of typical antibiotics in wastewater treatment plants in Harbin, North-east China. Frontiers of Environmental Science & Engineering 13 (2019).",compiled in Zhang_2022.xls,
41,"Wang, Z. et al. Residue status of antibiotics in aquaculture ponds of main tilapia aquaculture areas in Guangxi. Journal of Southern Argiculture 50, 891-897 (2019).",compiled in Zhang_2022.xls,
