sample_type,province,location,sample_year,season,antibiotic,mean_concentration,max_concentration,concentration_unit,reference_number
sediment,Guangdong,"Pearl River, site Z1",2016,,Lomefloxacin,50.1,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2016,,Lomefloxacin,79.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2016,,Lomefloxacin,59.7,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z4",2016,,Lomefloxacin,38.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z5",2016,,Lomefloxacin,7.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z6",2016,,Lomefloxacin,16.5,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z7",2016,,Lomefloxacin,91.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z8",2016,,Lomefloxacin,8.7,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2016,,Lomefloxacin,23.5,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2016,,Lomefloxacin,27.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2016,,Lomefloxacin,19.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2017,,Lomefloxacin,56.5,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2017,,Lomefloxacin,62.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2017,,Lomefloxacin,26.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z4",2017,,Lomefloxacin,39.2,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z5",2017,,Lomefloxacin,27.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z6",2017,,Lomefloxacin,27.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z7",2017,,Lomefloxacin,91.1,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z8",2017,,Lomefloxacin,59.5,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2017,,Lomefloxacin,21.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2017,,Lomefloxacin,17.5,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2017,,Lomefloxacin,22.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2015,,Lomefloxacin,74.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2015,,Lomefloxacin,71.1,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2015,,Lomefloxacin,32.1,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z4",2015,,Lomefloxacin,29.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z5",2015,,Lomefloxacin,24.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z7",2015,,Lomefloxacin,13.1,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z8",2015,,Lomefloxacin,14.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2015,,Lomefloxacin,23.1,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2015,,Lomefloxacin,36,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2015,,Lomefloxacin,23,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2018,,Lomefloxacin,74.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2018,,Lomefloxacin,50.1,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2018,,Lomefloxacin,69.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2018,,Lomefloxacin,19.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2018,,Lomefloxacin,38.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2018,,Lomefloxacin,91.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2018,,Lomefloxacin,71.1,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2018,,Lomefloxacin,26.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2018,,Lomefloxacin,56.5,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2018,,Lomefloxacin,8.7,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2018,,Lomefloxacin,7.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2018,,Lomefloxacin,39.2,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2018,,Lomefloxacin,59.5,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2018,,Lomefloxacin,14.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2018,,Lomefloxacin,22.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2018,,Lomefloxacin,23.1,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2018,,Lomefloxacin,23,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2018,,Lomefloxacin,24.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2016,,Norfloxacin,171.1,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2016,,Norfloxacin,156.2,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2016,,Norfloxacin,71.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z4",2016,,Norfloxacin,61.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z5",2016,,Norfloxacin,16.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z6",2016,,Norfloxacin,29.5,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z7",2016,,Norfloxacin,27.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z8",2016,,Norfloxacin,20.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2016,,Norfloxacin,16.5,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2016,,Norfloxacin,6.7,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2016,,Norfloxacin,26.7,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2017,,Norfloxacin,253.5,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2017,,Norfloxacin,178.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2017,,Norfloxacin,143.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z4",2017,,Norfloxacin,30.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z5",2017,,Norfloxacin,14.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z6",2017,,Norfloxacin,13,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z7",2017,,Norfloxacin,37.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z8",2017,,Norfloxacin,33.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2017,,Norfloxacin,4.5,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2017,,Norfloxacin,3.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2017,,Norfloxacin,8.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2015,,Norfloxacin,146.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2015,,Norfloxacin,151.2,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2015,,Norfloxacin,93.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z4",2015,,Norfloxacin,54.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2018,,Norfloxacin,146.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2018,,Norfloxacin,171.1,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2018,,Norfloxacin,154.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2018,,Norfloxacin,26.7,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2018,,Norfloxacin,61.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2018,,Norfloxacin,127.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2018,,Norfloxacin,37.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z5",2015,,Norfloxacin,39.2,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2018,,Norfloxacin,143.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2018,,Norfloxacin,253.5,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2018,,Norfloxacin,20.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2018,,Norfloxacin,16.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2018,,Norfloxacin,30.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2018,,Norfloxacin,33.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2018,,Norfloxacin,24.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2018,,Norfloxacin,8.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2018,,Norfloxacin,3.1,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2018,,Norfloxacin,3.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z6",2015,,Norfloxacin,15.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2018,,Norfloxacin,39.2,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z7",2015,,Norfloxacin,30.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z8",2015,,Norfloxacin,24.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2015,,Norfloxacin,3.1,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2015,,Norfloxacin,7.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2015,,Norfloxacin,3.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2016,,Ofloxacin,72.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2016,,Ofloxacin,95.5,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2016,,Ofloxacin,70.2,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z4",2016,,Ofloxacin,27.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z5",2016,,Ofloxacin,62.7,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z6",2016,,Ofloxacin,91.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z7",2016,,Ofloxacin,82.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z8",2016,,Ofloxacin,109.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2016,,Ofloxacin,9.2,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2016,,Ofloxacin,9.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2016,,Ofloxacin,37.1,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2017,,Ofloxacin,48.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2017,,Ofloxacin,76.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2017,,Ofloxacin,41.1,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z4",2017,,Ofloxacin,18.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z5",2017,,Ofloxacin,73.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z6",2017,,Ofloxacin,107.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z7",2017,,Ofloxacin,101.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z8",2017,,Ofloxacin,79.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2017,,Ofloxacin,12.7,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2017,,Ofloxacin,30.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2017,,Ofloxacin,34.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2018,,Ofloxacin,108.1,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2018,,Ofloxacin,72.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2018,,Ofloxacin,198.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2018,,Ofloxacin,37.1,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2018,,Ofloxacin,87.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2018,,Ofloxacin,142.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2018,,Ofloxacin,101.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2018,,Ofloxacin,41.1,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2018,,Ofloxacin,128.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2018,,Ofloxacin,109.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2018,,Ofloxacin,62.7,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2018,,Ofloxacin,18.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2018,,Ofloxacin,79.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2018,,Ofloxacin,117.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2018,,Ofloxacin,34.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2018,,Ofloxacin,9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2018,,Ofloxacin,36.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2018,,Ofloxacin,47,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2015,,Ofloxacin,108.1,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2015,,Ofloxacin,73.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2015,,Ofloxacin,29.1,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z4",2015,,Ofloxacin,38.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z5",2015,,Ofloxacin,47,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z6",2015,,Ofloxacin,89.7,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z7",2015,,Ofloxacin,76.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z8",2015,,Ofloxacin,117.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2015,,Ofloxacin,9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2015,,Ofloxacin,11,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2015,,Ofloxacin,36.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2016,,Oxytetracycline,45.7,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2016,,Oxytetracycline,75.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2016,,Oxytetracycline,53.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z4",2016,,Oxytetracycline,28.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z5",2016,,Oxytetracycline,131.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z6",2016,,Oxytetracycline,150.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z7",2016,,Oxytetracycline,52.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z8",2016,,Oxytetracycline,250.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2016,,Oxytetracycline,19.1,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2016,,Oxytetracycline,23,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2016,,Oxytetracycline,18.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2017,,Oxytetracycline,17.7,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2017,,Oxytetracycline,119,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2017,,Oxytetracycline,27,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z4",2017,,Oxytetracycline,19.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z5",2017,,Oxytetracycline,88.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z6",2017,,Oxytetracycline,227.1,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z7",2017,,Oxytetracycline,51.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z8",2017,,Oxytetracycline,93.1,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2017,,Oxytetracycline,20.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2017,,Oxytetracycline,17,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2017,,Oxytetracycline,18.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2018,,Oxytetracycline,64.5,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2018,,Oxytetracycline,45.7,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2018,,Oxytetracycline,26.1,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2018,,Oxytetracycline,108.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2018,,Oxytetracycline,48.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2018,,Oxytetracycline,52.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2018,,Oxytetracycline,71.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2018,,Oxytetracycline,57,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2018,,Oxytetracycline,35.7,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2018,,Oxytetracycline,160.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2018,,Oxytetracycline,121.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2018,,Oxytetracycline,99.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2018,,Oxytetracycline,93.1,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2018,,Oxytetracycline,103.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2018,,Oxytetracycline,78.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2018,,Oxytetracycline,100.7,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2018,,Oxytetracycline,113.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2018,,Oxytetracycline,93.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2015,,Oxytetracycline,24.5,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2015,,Oxytetracycline,21.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2015,,Oxytetracycline,32.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z4",2015,,Oxytetracycline,26.1,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z5",2015,,Oxytetracycline,93.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z6",2015,,Oxytetracycline,80.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z7",2015,,Oxytetracycline,260.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z8",2015,,Oxytetracycline,173.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2015,,Oxytetracycline,10.7,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2015,,Oxytetracycline,11.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2015,,Oxytetracycline,13.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2016,,Roxithromycin,568.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2016,,Roxithromycin,219,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2016,,Roxithromycin,149.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z4",2016,,Roxithromycin,119.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z5",2016,,Roxithromycin,24.5,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z6",2016,,Roxithromycin,46.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z7",2016,,Roxithromycin,149.2,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z8",2016,,Roxithromycin,84.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2016,,Roxithromycin,131.2,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2016,,Roxithromycin,136.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2016,,Roxithromycin,153.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2017,,Roxithromycin,438.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2017,,Roxithromycin,156.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2017,,Roxithromycin,263.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z4",2017,,Roxithromycin,265.2,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z5",2017,,Roxithromycin,50.2,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z6",2017,,Roxithromycin,60.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z7",2017,,Roxithromycin,184.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z8",2017,,Roxithromycin,51,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2017,,Roxithromycin,135.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2017,,Roxithromycin,58.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2017,,Roxithromycin,154.5,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2018,,Roxithromycin,190.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2018,,Roxithromycin,368.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2018,,Roxithromycin,339,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2018,,Roxithromycin,153.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2018,,Roxithromycin,119.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2018,,Roxithromycin,249.2,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2018,,Roxithromycin,184.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2018,,Roxithromycin,263.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2018,,Roxithromycin,438.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2018,,Roxithromycin,84.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2018,,Roxithromycin,24.5,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2018,,Roxithromycin,265.2,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2018,,Roxithromycin,51,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2018,,Roxithromycin,42,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2018,,Roxithromycin,154.5,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2018,,Roxithromycin,115.2,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2018,,Roxithromycin,131.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2018,,Roxithromycin,225.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2015,,Roxithromycin,190.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2015,,Roxithromycin,242.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2015,,Roxithromycin,257,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z4",2015,,Roxithromycin,139,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z5",2015,,Roxithromycin,225.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z6",2015,,Roxithromycin,38.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z7",2015,,Roxithromycin,17.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z8",2015,,Roxithromycin,42,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2015,,Roxithromycin,115.2,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2015,,Roxithromycin,115.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2015,,Roxithromycin,131.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z7",2015,,Sulfacetamide,11.7,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z8",2015,,Sulfacetamide,18.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2015,,Sulfacetamide,15.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2015,,Sulfacetamide,27.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2015,,Sulfacetamide,20,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2016,,Sulfacetamide,22.1,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2016,,Sulfacetamide,71.2,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2016,,Sulfacetamide,103.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z4",2016,,Sulfacetamide,48.5,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z5",2016,,Sulfacetamide,16.1,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z6",2016,,Sulfacetamide,17.7,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z7",2016,,Sulfacetamide,36.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z8",2016,,Sulfacetamide,13.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2016,,Sulfacetamide,26.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2016,,Sulfacetamide,18.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2016,,Sulfacetamide,20.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2017,,Sulfacetamide,65.5,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2017,,Sulfacetamide,120.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2017,,Sulfacetamide,58.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z4",2017,,Sulfacetamide,44,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z5",2017,,Sulfacetamide,24.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z6",2017,,Sulfacetamide,27.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z7",2017,,Sulfacetamide,35.9,,ng/g (dw),N43
