sample_type,province,location,sample_year,season,antibiotic,mean_concentration,max_concentration,concentration_unit,reference_number
sediment,Guangdong,"Pearl River, site Z3",2016,,Erythromycin,112.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z4",2016,,Erythromycin,81.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z5",2016,,Erythromycin,26.2,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z6",2016,,Erythromycin,33.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z7",2016,,Erythromycin,101.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z8",2016,,Erythromycin,66.1,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2016,,Erythromycin,95,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2016,,Erythromycin,53.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2016,,Erythromycin,206.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2015,,Erythromycin,92.5,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2015,,Erythromycin,78.1,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2015,,Erythromycin,137.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z4",2015,,Erythromycin,38.5,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z5",2015,,Erythromycin,111.7,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z6",2015,,Erythromycin,13.2,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2017,,Erythromycin,167.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2017,,Erythromycin,156,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2017,,Erythromycin,351.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z4",2017,,Erythromycin,353,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z7",2015,,Erythromycin,7.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z5",2017,,Erythromycin,49.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z6",2017,,Erythromycin,57.1,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z7",2017,,Erythromycin,78.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z8",2017,,Erythromycin,35.7,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2017,,Erythromycin,53.2,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2017,,Erythromycin,49.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2017,,Erythromycin,33.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z8",2015,,Erythromycin,17.2,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2015,,Erythromycin,83.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2015,,Erythromycin,85.5,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2015,,Erythromycin,86.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2018,,Erythromycin,92.5,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2018,,Erythromycin,150.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2018,,Erythromycin,208.5,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2018,,Erythromycin,156.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2018,,Erythromycin,81.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2018,,Erythromycin,201.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2018,,Erythromycin,78.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2018,,Erythromycin,151.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2018,,Erythromycin,167.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2018,,Erythromycin,66.1,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2018,,Erythromycin,26.2,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2018,,Erythromycin,153,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2018,,Erythromycin,35.7,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2018,,Erythromycin,17.2,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2018,,Erythromycin,33.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2018,,Erythromycin,83.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2018,,Erythromycin,86.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2018,,Erythromycin,111.7,,ng/g (dw),N43
