sample_type,matrix,province,location,antibiotic,group_of_antibiotic,mean_concentration,max_concentration,concentration_unit,sample_year,season,full_reference_name,place_in_article_data_extracted_from,reference_number,source_dataset,article_link,manually_curated
surface water,surface water,Sichuan,Sichuan Basin (17 municipal units; livestock farms),Doxycycline,tetracyclines,0.0004,0.00194,ng/L,2022–2023,,"Lai, C. (2025). Overall Evaluation of Antibiotics Occurrence from Large-Scale Livestock Farms in Sichuan Basin, China: Spatial Distribution, Source Apportionment, and Risk Assessment. Toxics 2025, 13, 154.",Table 2 (soil) and Table 3 (surface water) in main PDF; parsed from text extraction.,N_LAI2025_SICHUAN_BASIN,Lai_2025_Toxics_main_pdf,https://doi.org/10.3390/toxics13030154,True
surface water,surface water,Sichuan,Sichuan Basin (17 municipal units; livestock farms),Sulfamethazine,sulfonamides,0.0096,0.0653,ng/L,2022–2023,,"Lai, C. (2025). Overall Evaluation of Antibiotics Occurrence from Large-Scale Livestock Farms in Sichuan Basin, China: Spatial Distribution, Source Apportionment, and Risk Assessment. Toxics 2025, 13, 154.",Table 2 (soil) and Table 3 (surface water) in main PDF; parsed from text extraction.,N_LAI2025_SICHUAN_BASIN,Lai_2025_Toxics_main_pdf,https://doi.org/10.3390/toxics13030154,True
surface water,surface water,Sichuan,Sichuan Basin (17 municipal units; livestock farms),Sulfadiazine,sulfonamides,0.00951,0.101,ng/L,2022–2023,,"Lai, C. (2025). Overall Evaluation of Antibiotics Occurrence from Large-Scale Livestock Farms in Sichuan Basin, China: Spatial Distribution, Source Apportionment, and Risk Assessment. Toxics 2025, 13, 154.",Table 2 (soil) and Table 3 (surface water) in main PDF; parsed from text extraction.,N_LAI2025_SICHUAN_BASIN,Lai_2025_Toxics_main_pdf,https://doi.org/10.3390/toxics13030154,True
surface water,surface water,Sichuan,Sichuan Basin (17 municipal units; livestock farms),Sulfathiazole,sulfonamides,5e-05,0.00039,ng/L,2022–2023,,"Lai, C. (2025). Overall Evaluation of Antibiotics Occurrence from Large-Scale Livestock Farms in Sichuan Basin, China: Spatial Distribution, Source Apportionment, and Risk Assessment. Toxics 2025, 13, 154.",Table 2 (soil) and Table 3 (surface water) in main PDF; parsed from text extraction.,N_LAI2025_SICHUAN_BASIN,Lai_2025_Toxics_main_pdf,https://doi.org/10.3390/toxics13030154,True
surface water,surface water,Sichuan,Sichuan Basin (17 municipal units; livestock farms),Sulfadimidine,sulfonamides,6e-05,0.00085,ng/L,2022–2023,,"Lai, C. (2025). Overall Evaluation of Antibiotics Occurrence from Large-Scale Livestock Farms in Sichuan Basin, China: Spatial Distribution, Source Apportionment, and Risk Assessment. Toxics 2025, 13, 154.",Table 2 (soil) and Table 3 (surface water) in main PDF; parsed from text extraction.,N_LAI2025_SICHUAN_BASIN,Lai_2025_Toxics_main_pdf,https://doi.org/10.3390/toxics13030154,True
surface water,surface water,Sichuan,Sichuan Basin (17 municipal units; livestock farms),Sulfachloropyridazine,sulfonamides,0.00352,0.0182,ng/L,2022–2023,,"Lai, C. (2025). Overall Evaluation of Antibiotics Occurrence from Large-Scale Livestock Farms in Sichuan Basin, China: Spatial Distribution, Source Apportionment, and Risk Assessment. Toxics 2025, 13, 154.",Table 2 (soil) and Table 3 (surface water) in main PDF; parsed from text extraction.,N_LAI2025_SICHUAN_BASIN,Lai_2025_Toxics_main_pdf,https://doi.org/10.3390/toxics13030154,True
surface water,surface water,Sichuan,Sichuan Basin (17 municipal units; livestock farms),Sulfamethoxazole,sulfonamides,2e-05,0.0004,ng/L,2022–2023,,"Lai, C. (2025). Overall Evaluation of Antibiotics Occurrence from Large-Scale Livestock Farms in Sichuan Basin, China: Spatial Distribution, Source Apportionment, and Risk Assessment. Toxics 2025, 13, 154.",Table 2 (soil) and Table 3 (surface water) in main PDF; parsed from text extraction.,N_LAI2025_SICHUAN_BASIN,Lai_2025_Toxics_main_pdf,https://doi.org/10.3390/toxics13030154,True
surface water,surface water,Sichuan,Sichuan Basin (17 municipal units; livestock farms),Ciprofloxacin,fluoroquinolones,0.02987,0.189,ng/L,2022–2023,,"Lai, C. (2025). Overall Evaluation of Antibiotics Occurrence from Large-Scale Livestock Farms in Sichuan Basin, China: Spatial Distribution, Source Apportionment, and Risk Assessment. Toxics 2025, 13, 154.",Table 2 (soil) and Table 3 (surface water) in main PDF; parsed from text extraction.,N_LAI2025_SICHUAN_BASIN,Lai_2025_Toxics_main_pdf,https://doi.org/10.3390/toxics13030154,True
surface water,surface water,Sichuan,Sichuan Basin (17 municipal units; livestock farms),Enoxacin,fluoroquinolones,0.03574,0.158,ng/L,2022–2023,,"Lai, C. (2025). Overall Evaluation of Antibiotics Occurrence from Large-Scale Livestock Farms in Sichuan Basin, China: Spatial Distribution, Source Apportionment, and Risk Assessment. Toxics 2025, 13, 154.",Table 2 (soil) and Table 3 (surface water) in main PDF; parsed from text extraction.,N_LAI2025_SICHUAN_BASIN,Lai_2025_Toxics_main_pdf,https://doi.org/10.3390/toxics13030154,True
surface water,surface water,Sichuan,Sichuan Basin (17 municipal units; livestock farms),Norfloxacin,fluoroquinolones,0.03179,0.112,ng/L,2022–2023,,"Lai, C. (2025). Overall Evaluation of Antibiotics Occurrence from Large-Scale Livestock Farms in Sichuan Basin, China: Spatial Distribution, Source Apportionment, and Risk Assessment. Toxics 2025, 13, 154.",Table 2 (soil) and Table 3 (surface water) in main PDF; parsed from text extraction.,N_LAI2025_SICHUAN_BASIN,Lai_2025_Toxics_main_pdf,https://doi.org/10.3390/toxics13030154,True
surface water,surface water,Sichuan,Sichuan Basin (17 municipal units; livestock farms),Enrofloxacin,fluoroquinolones,0.0035,0.0284,ng/L,2022–2023,,"Lai, C. (2025). Overall Evaluation of Antibiotics Occurrence from Large-Scale Livestock Farms in Sichuan Basin, China: Spatial Distribution, Source Apportionment, and Risk Assessment. Toxics 2025, 13, 154.",Table 2 (soil) and Table 3 (surface water) in main PDF; parsed from text extraction.,N_LAI2025_SICHUAN_BASIN,Lai_2025_Toxics_main_pdf,https://doi.org/10.3390/toxics13030154,True
surface water,surface water,Sichuan,Sichuan Basin (17 municipal units; livestock farms),Lomefloxacin,fluoroquinolones,0.00232,0.0193,ng/L,2022–2023,,"Lai, C. (2025). Overall Evaluation of Antibiotics Occurrence from Large-Scale Livestock Farms in Sichuan Basin, China: Spatial Distribution, Source Apportionment, and Risk Assessment. Toxics 2025, 13, 154.",Table 2 (soil) and Table 3 (surface water) in main PDF; parsed from text extraction.,N_LAI2025_SICHUAN_BASIN,Lai_2025_Toxics_main_pdf,https://doi.org/10.3390/toxics13030154,True
surface water,surface water,Sichuan,Sichuan Basin (17 municipal units; livestock farms),Sarafloxacin,fluoroquinolones,0.00102,0.00737,ng/L,2022–2023,,"Lai, C. (2025). Overall Evaluation of Antibiotics Occurrence from Large-Scale Livestock Farms in Sichuan Basin, China: Spatial Distribution, Source Apportionment, and Risk Assessment. Toxics 2025, 13, 154.",Table 2 (soil) and Table 3 (surface water) in main PDF; parsed from text extraction.,N_LAI2025_SICHUAN_BASIN,Lai_2025_Toxics_main_pdf,https://doi.org/10.3390/toxics13030154,True
municipal wastewater influent,wastewater influent,Guangdong,Plant A WWTP (South China; A2/O),Sulfadiazine,sulfonamides,21.9,,ng/L,2010,May,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S6 Plant A May Influent,N_ZHOU2013_SC_WWTP,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S6–S7,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal wastewater effluent,wastewater effluent,Guangdong,Plant A WWTP (South China; A2/O),Sulfadiazine,sulfonamides,1.14,,ng/L,2010,May,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S6 Plant A May Final effluent,N_ZHOU2013_SC_WWTP,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S6–S7,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal wastewater influent,wastewater influent,Guangdong,Plant A WWTP (South China; A2/O),Sulfadiazine,sulfonamides,15.4,,ng/L,2010,November,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S6 Plant A Nov Influent,N_ZHOU2013_SC_WWTP,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S6–S7,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal wastewater effluent,wastewater effluent,Guangdong,Plant A WWTP (South China; A2/O),Sulfadiazine,sulfonamides,4.12,,ng/L,2010,November,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S6 Plant A Nov Final effluent,N_ZHOU2013_SC_WWTP,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S6–S7,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal wastewater influent,wastewater influent,Guangdong,Plant A WWTP (South China; A2/O),Sulfamethazine,sulfonamides,105.0,,ng/L,2010,May,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S6 Plant A May Influent,N_ZHOU2013_SC_WWTP,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S6–S7,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal wastewater effluent,wastewater effluent,Guangdong,Plant A WWTP (South China; A2/O),Sulfamethazine,sulfonamides,12.3,,ng/L,2010,May,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S6 Plant A May Final effluent,N_ZHOU2013_SC_WWTP,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S6–S7,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
