sample_type,matrix,province,location,antibiotic,group_of_antibiotic,mean_concentration,max_concentration,concentration_unit,sample_year,season,full_reference_name,place_in_article_data_extracted_from,reference_number,source_dataset,article_link,manually_curated
soil,soil,Tianjin,Northern China amended soil Soil 15,Doxycycline,tetracyclines,136.7,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 10 soils section (Soil 15) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Tianjin,Northern China amended soil Soil 16,Doxycycline,tetracyclines,176.4,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 10 soils section (Soil 16) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Tianjin,Northern China amended soil Soil 17,Doxycycline,tetracyclines,188.5,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 10 soils section (Soil 17) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Tianjin,Northern China amended soil Soil 12,Enrofloxacin,fluoroquinolones,10.6,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 10 soils section (Soil 12) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Tianjin,Northern China amended soil Soil 13,Enrofloxacin,fluoroquinolones,18.8,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 10 soils section (Soil 13) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Tianjin,Northern China amended soil Soil 14,Enrofloxacin,fluoroquinolones,12.1,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 10 soils section (Soil 14) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Tianjin,Northern China amended soil Soil 15,Enrofloxacin,fluoroquinolones,9.2,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 10 soils section (Soil 15) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Tianjin,Northern China amended soil Soil 16,Enrofloxacin,fluoroquinolones,40.7,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 10 soils section (Soil 16) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Tianjin,Northern China amended soil Soil 17,Enrofloxacin,fluoroquinolones,18.2,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 10 soils section (Soil 17) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Tianjin,Northern China amended soil Soil 12,Ciprofloxacin,fluoroquinolones,54.6,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 10 soils section (Soil 12) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Tianjin,Northern China amended soil Soil 13,Ciprofloxacin,fluoroquinolones,80.9,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 10 soils section (Soil 13) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Tianjin,Northern China amended soil Soil 14,Ciprofloxacin,fluoroquinolones,67.1,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 10 soils section (Soil 14) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Tianjin,Northern China amended soil Soil 15,Ciprofloxacin,fluoroquinolones,29.9,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 10 soils section (Soil 15) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Tianjin,Northern China amended soil Soil 16,Ciprofloxacin,fluoroquinolones,36.3,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 10 soils section (Soil 16) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Tianjin,Northern China amended soil Soil 17,Ciprofloxacin,fluoroquinolones,31.1,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 10 soils section (Soil 17) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Tianjin,Northern China amended soil Soil 12,Ofloxacin,fluoroquinolones,12.8,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 10 soils section (Soil 12) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Tianjin,Northern China amended soil Soil 13,Ofloxacin,fluoroquinolones,17.4,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 10 soils section (Soil 13) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Tianjin,Northern China amended soil Soil 14,Ofloxacin,fluoroquinolones,10.4,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 10 soils section (Soil 14) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Tianjin,Northern China amended soil Soil 15,Ofloxacin,fluoroquinolones,7.8,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 10 soils section (Soil 15) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Tianjin,Northern China amended soil Soil 16,Ofloxacin,fluoroquinolones,10.7,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 10 soils section (Soil 16) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Tianjin,Northern China amended soil Soil 17,Ofloxacin,fluoroquinolones,8.8,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 10 soils section (Soil 17) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Tianjin,Northern China amended soil Soil 12,Roxithromycin,macrolides,11.6,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 10 soils section (Soil 12) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Tianjin,Northern China amended soil Soil 14,Roxithromycin,macrolides,13.4,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 10 soils section (Soil 14) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Tianjin,Northern China amended soil Soil 15,Roxithromycin,macrolides,5.9,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 10 soils section (Soil 15) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Tianjin,Northern China amended soil Soil 17,Roxithromycin,macrolides,7.4,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 10 soils section (Soil 17) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Tianjin,Northern China amended soil Soil 12,Erythromycin,macrolides,7.2,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 10 soils section (Soil 12) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Tianjin,Northern China amended soil Soil 13,Erythromycin,macrolides,4.9,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 10 soils section (Soil 13) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Tianjin,Northern China amended soil Soil 16,Erythromycin,macrolides,5.3,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 10 soils section (Soil 16) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Tianjin,Northern China amended soil Soil 12,Tylosin,macrolides,9.1,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 10 soils section (Soil 12) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Tianjin,Northern China amended soil Soil 17,Tylosin,macrolides,2.3,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 10 soils section (Soil 17) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Tianjin,Northern China amended soil Soil 13,Furazolidone,other,31.8,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 10 soils section (Soil 13) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Tianjin,Northern China amended soil Soil 14,Furazolidone,other,57.8,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 10 soils section (Soil 14) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Liaoning,Northern China amended soil Soil 3,Sulfamethoxazole,sulfonamides,2.2,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 9 soils section (Soil 3) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Liaoning,Northern China amended soil Soil 4,Sulfamethoxazole,sulfonamides,8.3,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 9 soils section (Soil 4) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Liaoning,Northern China amended soil Soil 5,Sulfamethoxazole,sulfonamides,11.6,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 9 soils section (Soil 5) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Liaoning,Northern China amended soil Soil 6,Sulfamethoxazole,sulfonamides,46.6,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 9 soils section (Soil 6) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Liaoning,Northern China amended soil Soil 7,Sulfamethoxazole,sulfonamides,12.3,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 9 soils section (Soil 7) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Liaoning,Northern China amended soil Soil 8,Sulfamethoxazole,sulfonamides,11.9,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 9 soils section (Soil 8) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Liaoning,Northern China amended soil Soil 9,Sulfamethoxazole,sulfonamides,3.8,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 9 soils section (Soil 9) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Liaoning,Northern China amended soil Soil 10,Sulfamethoxazole,sulfonamides,6.2,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 9 soils section (Soil 10) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Liaoning,Northern China amended soil Soil 3,Sulfadimidine,sulfonamides,28.3,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 9 soils section (Soil 3) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Liaoning,Northern China amended soil Soil 4,Sulfadimidine,sulfonamides,33.3,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 9 soils section (Soil 4) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Liaoning,Northern China amended soil Soil 6,Sulfadimidine,sulfonamides,11.6,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 9 soils section (Soil 6) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Liaoning,Northern China amended soil Soil 7,Sulfadimidine,sulfonamides,59.2,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 9 soils section (Soil 7) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
